start_time,end_time,prediksi
283.0,284.0,belakang
284.0,285.0,depan
285.0,286.0,depan
286.0,287.0,depan
287.0,288.0,depan
288.0,289.0,belakang
289.0,290.0,depan
290.0,291.0,depan
291.0,292.0,depan
292.0,293.0,depan
293.0,294.0,depan
294.0,295.0,depan
295.0,296.0,depan
296.0,297.0,belakang
297.0,298.0,depan
298.0,299.0,belakang
299.0,300.0,belakang
300.0,301.0,belakang
301.0,302.0,belakang
302.0,303.0,belakang
303.0,304.0,belakang
304.0,305.0,belakang
305.0,306.0,belakang
306.0,307.0,belakang
307.0,308.0,belakang
308.0,309.0,belakang
309.0,310.0,belakang
310.0,311.0,kiri
311.0,312.0,kanan
312.0,313.0,kanan
313.0,314.0,kanan
314.0,315.0,kanan
315.0,316.0,kanan
316.0,317.0,kanan
317.0,318.0,kanan
318.0,319.0,kanan
319.0,320.0,kanan
320.0,321.0,kanan
321.0,322.0,kiri
322.0,323.0,kiri
323.0,324.0,kiri
324.0,325.0,kiri
325.0,326.0,kiri
326.0,327.0,kiri
327.0,328.0,kiri
328.0,329.0,kiri
329.0,330.0,kiri
330.0,331.0,kiri
331.0,332.0,kiri
332.0,333.0,kiri
333.0,334.0,kiri
334.0,335.0,terbang
335.0,336.0,terbang
336.0,337.0,terbang
337.0,338.0,terbang
338.0,339.0,terbang
339.0,340.0,terbang
340.0,341.0,terbang
341.0,342.0,terbang
342.0,343.0,terbang
343.0,344.0,terbang
344.0,345.0,terbang
345.0,346.0,landing
346.0,347.0,landing
347.0,348.0,landing
348.0,349.0,landing
349.0,350.0,landing
350.0,351.0,landing
351.0,352.0,landing
352.0,353.0,landing
353.0,354.0,landing
354.0,355.0,landing
355.0,356.0,landing
356.0,357.0,landing
357.0,358.0,landing
358.0,359.0,landing
359.0,360.0,landing
