sample,value
0,3428.1317505994
1,3464.5203905726
2,3487.6991495727
3,3477.4173471233
4,3456.4737625687
5,3434.9713844027
6,3472.2093906652
7,3507.5474986491
8,3486.1121757164
9,3463.5816173055
10,3439.7323059717
11,3471.5835418205
12,3504.9323445478
13,3486.4921553722
14,3456.0490794240
15,3424.8907476533
16,3460.0947451704
17,3504.4629579142
18,3485.9557135052
19,3450.5281985436
20,3427.0365151210
21,3471.9858732207
22,3504.9323445478
23,3483.0276349816
24,3449.5447217875
25,3418.6099074614
26,3449.7235357432
27,3481.4853646142
28,3458.5524748030
29,3438.8829396824
30,3425.4718930092
31,3455.6914515127
32,3487.4085768948
33,3474.0422337106
34,3444.8732071964
35,3422.7449801856
36,3460.7205940152
37,3505.5581933925
38,3474.3328063885
39,3447.8012857200
40,3413.9607446147
41,3454.0597741675
42,3485.0392919826
43,3474.5563238330
44,3450.4387915658
45,3424.0413813640
46,3460.9664632042
47,3499.3667601784
48,3474.0422337106
49,3432.6468029793
50,3418.0064103611
51,3453.7915532340
52,3474.5563238330
53,3461.8828847269
54,3441.7439629726
55,3407.8810701228
56,3439.7993612050
57,3483.4299663818
58,3461.3464428599
59,3433.2055965907
60,3412.5525847140
61,3441.9227769283
62,3475.1598209333
63,3462.6428440383
64,3442.3251083285
65,3417.9393551277
66,3447.2871955976
67,3486.6039140944
68,3476.0985942004
69,3449.5670735320
70,3418.2522795501
71,3447.2871955976
72,3479.4960593577
73,3458.2842538696
74,3431.8868436678
75,3409.3786370014
76,3443.2638815956
77,3478.6019895794
78,3462.7322510162
79,3428.7128959552
80,3396.5934391729
81,3422.9908493746
82,3467.4931725852
83,3457.0996114134
84,3429.0705238665
85,3401.8013956310
86,3433.8090936910
87,3468.3425388745
88,3453.6574427673
89,3437.6088902484
90,3415.6147737044
91,3439.9781751607
92,3481.4183093808
93,3465.0568324395
94,3439.7099542272
95,3404.2377357766
96,3434.0996663689
97,3474.7127860442
98,3458.7536405031
99,3426.4330180208
100,3391.3631309704
101,3417.1570440718
102,3457.8372189805
103,3453.9927189341
104,3425.2260238202
105,3391.0949100369
106,3419.6604394508
107,3465.0568324395
108,3448.6730037538
109,3423.2143668192
110,3399.3203519965
111,3414.2066138037
112,3462.4640300827
113,3452.6963177557
114,3427.0588668655
115,3396.8393083619
116,3416.3076777825
117,3463.8051347500
118,3444.8061519630
119,3416.5758987160
120,3388.8820873358
121,3407.2552212781
122,3456.0937829129
123,3455.8702654684
124,3424.9130993978
125,3394.3135612385
126,3426.6788872098
127,3470.5106580866
128,3447.5554165310
129,3417.5817272164
130,3391.0725582925
131,3419.2581080506
132,3471.3153208870
133,3455.6690997683
134,3422.4767592522
135,3393.0842152934
136,3416.5311952271
137,3453.5456840450
138,3446.7507537306
139,3425.0919133534
140,3392.3913112153
141,3412.9102126253
142,3455.9820241907
143,3448.3824310759
144,3421.2697650516
145,3385.1493460118
146,3410.0044858461
147,3465.5932743064
148,3453.4339253228
149,3422.7002766967
150,3391.2290205036
151,3402.3601892424
152,3448.5388932871
153,3451.0646404105
154,3422.6779249523
155,3398.7615583851
156,3420.3309917845
157,3464.1404109169
158,3442.2804048396
159,3409.6468579348
160,3378.8238023309
161,3399.1638897853
162,3442.7721432176
163,3428.0423436215
164,3407.3669800004
165,3379.2037819867
166,3401.8460991199
167,3455.1103061569
168,3436.9830414037
169,3413.8266341480
