subject,loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,label
fahri,2,108.996,109.992,191578.37459297036,2600554.6102250167,6762884280762.588,-0.13397391576782997,-0.17247030642875627,-191578.37459297036,2600554.6102250167,6762884280762.588,0.13397391576783022,-0.17247030642875627,kiri
fahri,2,109.996,110.992,-203483.36355603297,2090296.187471434,4369338151357.6123,-0.2778549468182272,-0.49812840980177553,203483.36355603283,2090296.187471434,4369338151357.613,0.27785494681822726,-0.49812840980177553,kiri
fahri,2,110.996,111.992,304949.7060923834,2244675.1509116837,5038566533120.39,-0.22342008418371254,0.25987358463485855,-304949.70609238336,2244675.1509116837,5038566533120.39,0.22342008418371317,0.25987358463485766,kiri
fahri,2,111.996,112.992,2107031.3762644273,2388596.688579119,5705394140691.133,0.08173694025463756,-0.8827937567209219,-2107031.376264428,2388596.688579119,5705394140691.133,-0.08173694025463675,-0.8827937567209223,kiri
fahri,2,112.996,113.992,-2114183.5876625683,2694842.5211117407,7262176213591.884,0.12942116073438162,0.44004342249533845,2114183.5876625683,2694842.5211117407,7262176213591.884,-0.1294211607343817,0.44004342249533845,kiri
fahri,2,113.996,114.992,-157586.75704074305,2557068.057672646,6538597051569.758,-0.3270582488331169,-0.6557107950975456,157586.757040743,2557068.057672646,6538597051569.757,0.3270582488331171,-0.6557107950975447,kiri
fahri,2,114.996,180.988,-250848.3763618889,4236357.983862831,17946728967438.355,-0.2564284799467402,-0.6767674075537475,250848.37636188866,4236357.983862832,17946728967438.36,0.2564284799467401,-0.6767674075537475,kiri
fahri,3,180.992,181.988,-1277079.7791837733,4491202.410409091,20170899091264.426,-0.21511652116610258,-0.5774146743860293,1277079.7791837724,4491202.410409091,20170899091264.426,0.21511652116610322,-0.5774146743860293,kiri
fahri,3,181.992,182.988,511068.83521245874,2512030.3148878245,6310296302915.422,-0.2500030128188708,-0.8064629456114099,-511068.83521245874,2512030.314887824,6310296302915.42,0.25000301281887094,-0.8064629456114085,kiri
fahri,3,182.992,183.988,493902.3214556229,3266508.038978693,10670074768712.428,0.9364542588823042,0.2856622040410324,-493902.3214556229,3266508.038978693,10670074768712.428,-0.9364542588823038,0.2856622040410324,kiri
fahri,3,183.992,184.988,-1818734.5724445046,2267381.3213708964,5141018056501.632,0.06788862074564254,-0.12951613957946861,1818734.572444505,2267381.3213708964,5141018056501.632,-0.06788862074564289,-0.12951613957946728,kiri
fahri,3,184.992,185.988,1228267.384135031,2657637.3422148526,7063036242734.824,0.6527463543989259,-0.34454348911045285,-1228267.384135031,2657637.3422148526,7063036242734.824,-0.6527463543989259,-0.3445434891104524,kiri
fahri,3,185.992,186.988,1327019.107678795,2786208.178828365,7762956015770.075,0.2762663621824194,-0.5622120785036779,-1327019.1076787957,2786208.178828365,7762956015770.076,-0.2762663621824197,-0.562212078503677,kiri
fahri,3,186.992,252.984,578081.5705261555,2204121.2641568375,4858150547108.336,0.12436215315827441,-0.6981963250729173,-578081.5705261555,2204121.2641568375,4858150547108.336,-0.12436215315827451,-0.6981963250729164,kiri
fahri,4,252.988,253.984,123232.4221015487,2467639.764418908,6089246006941.403,0.3266638668261455,-0.3678661263237717,-123232.42210154864,2467639.764418908,6089246006941.402,-0.3266638668261456,-0.36786612632377214,kiri
fahri,4,253.988,254.984,-325662.0009783887,1825894.0470113372,3333889070911.4395,0.30208594705765773,0.6042867294496532,325662.00097838865,1825894.047011337,3333889070911.439,-0.3020859470576577,0.6042867294496546,kiri
fahri,4,254.988,255.984,275684.53254995984,1888046.0314959127,3564717817047.465,-0.2804146937265017,-0.43961084952986607,-275684.53254995984,1888046.0314959127,3564717817047.465,0.28041469372650163,-0.43961084952986607,kiri
fahri,4,255.988,256.984,-1437430.8464707255,2499951.541345965,6249757709078.066,0.5038267587267233,0.044939519705837316,1437430.8464707257,2499951.5413459647,6249757709078.064,-0.5038267587267234,0.04493951970583865,kiri
fahri,4,256.988,257.984,1509726.3379799682,2837993.6510071093,8054207963156.662,-0.19842947879584824,-0.6917709621837353,-1509726.3379799677,2837993.6510071093,8054207963156.663,0.1984294787958478,-0.6917709621837358,kiri
fahri,4,257.988,258.984,448854.3075133063,2780005.785207796,7728432165788.814,0.36940477670773847,-0.148420911969267,-448854.3075133064,2780005.785207796,7728432165788.813,-0.36940477670773825,-0.14842091196926743,kiri
fahri,4,258.988,324.98,2759926.295611943,3110996.6530238464,9678300175125.576,-0.011440736013348033,-0.9178446211313398,-2759926.2956119436,3110996.6530238464,9678300175125.576,0.011440736013348494,-0.9178446211313394,kiri
fahri,5,324.984,325.98,3084733.1998261786,2813345.8590644915,7914914922715.322,0.272369703696581,-0.9317067840560971,-3084733.199826179,2813345.8590644924,7914914922715.326,-0.2723697036965813,-0.9317067840560975,kiri
fahri,5,325.984,326.98,-814781.6265023696,2023755.377384406,4095585827492.3,-0.25743894061983896,0.5541242704588649,814781.6265023694,2023755.377384406,4095585827492.3,0.257438940619839,0.5541242704588645,kiri
fahri,5,326.984,327.98,-932303.7106253253,2054756.780959301,4222025428898.229,0.037178917015306734,-0.5127982604921302,932303.7106253252,2054756.780959301,4222025428898.229,-0.037178917015306796,-0.5127982604921311,kiri
fahri,5,327.984,328.98,919408.4441766585,2495038.2215542644,6225215727016.667,-0.376429442931183,-0.052883891911047254,-919408.4441766584,2495038.2215542644,6225215727016.666,0.37642944293118275,-0.0528838919110477,kiri
fahri,5,328.984,329.98,-206413.45005461675,2503478.698215271,6267405592417.628,-0.36753426030612985,-0.30126926568257506,206413.45005461664,2503478.698215271,6267405592417.628,0.3675342603061298,-0.30126926568257595,kiri
fahri,5,329.984,330.98,-560907.3571157226,1912421.8679689884,3657357401085.995,-0.32397989175182423,-0.9595491812319636,560907.3571157226,1912421.8679689884,3657357401085.9946,0.3239798917518242,-0.9595491812319632,kiri
fahri,5,330.984,36.976,-139987902.55259594,1717366193.5146265,2.949346642626918e+18,0.32738367383649786,-0.3192637926094406,139987902.552596,1717366193.5146265,2.949346642626918e+18,-0.3273836738364979,-0.31926379260944104,kiri
sultan,1,36.98,37.976,-13040435.957357422,1649209586.473505,2.7198922601161093e+18,0.6841400400730822,0.24812567142392927,13040435.957357422,1649209586.473505,2.7198922601161093e+18,-0.6841400400730822,0.24812567142392927,kiri
sultan,1,37.98,38.976,24984773.198081806,1806499857.3927085,3.2634417347598766e+18,0.3027278762909676,-0.44088037836897964,-24984773.198081825,1806499857.3927085,3.2634417347598766e+18,-0.30272787629096753,-0.44088037836897964,kiri
sultan,1,38.98,39.976,33912897.85008359,1908772907.6868742,3.6434140131194045e+18,0.21502025567143393,-0.7687248067330676,-33912897.85008359,1908772907.6868742,3.6434140131194045e+18,-0.215020255671434,-0.7687248067330681,kiri
sultan,1,39.98,40.976,-119661590.16503103,2065585294.2348194,4.2666426077591455e+18,0.5083734512114153,0.10395035004303654,119661590.16503103,2065585294.2348194,4.2666426077591455e+18,-0.5083734512114153,0.10395035004303654,kiri
sultan,1,40.98,41.976,174813911.49711558,1760283589.473313,3.098598315369051e+18,-0.05426560728126295,0.4242569679550958,-174813911.49711558,1760283589.473313,3.098598315369051e+18,0.05426560728126293,0.42425696795509626,kiri
sultan,1,41.98,42.976,-35596.596278381345,1404017790.170844,1.9712659551162204e+18,0.3191483849011839,-0.2563886663456927,35596.596278381345,1404017790.170844,1.9712659551162207e+18,-0.31914838490118375,-0.25638866634569357,kiri
sultan,1,42.98,108.972,29717669.39827499,1267618130.766526,1.6068557254480212e+18,0.15848204456226914,-0.6608754974419813,-29717669.39827501,1267618130.766526,1.6068557254480212e+18,-0.15848204456226916,-0.6608754974419808,kiri
sultan,2,108.976,109.972,-145829921.87767673,1969232447.419645,3.877876431970365e+18,0.6227276514285565,0.6213895734761308,145829921.87767673,1969232447.419645,3.877876431970365e+18,-0.6227276514285567,0.6213895734761308,kiri
sultan,2,109.976,110.972,186076414.70173466,1771327189.6973975,3.13760001296128e+18,-0.02241151773873329,-0.5112671908740665,-186076414.70173466,1771327189.6973975,3.13760001296128e+18,0.022411517738733313,-0.5112671908740665,kiri
sultan,2,110.976,111.972,76556075.59299563,2052023501.6642041,4.2108004513822223e+18,0.788963317624991,1.6323501460175542,-76556075.59299557,2052023501.6642041,4.2108004513822223e+18,-0.7889633176249908,1.6323501460175533,kiri
sultan,2,111.976,112.972,-72051769.94472724,1458787451.923779,2.1280608298902717e+18,0.5590944643844263,0.26734327121343693,72051769.94472724,1458787451.923779,2.128060829890272e+18,-0.5590944643844262,0.26734327121343693,kiri
sultan,2,112.976,113.972,-11038992.957359176,1529838639.852424,2.3404062639855145e+18,-0.015498724334803753,-0.583007937774771,11038992.957359208,1529838639.852424,2.3404062639855145e+18,0.015498724334803558,-0.583007937774771,kiri
sultan,2,113.976,114.972,84786572.16304511,1790856497.4717221,3.2071669945366845e+18,0.28723376532562045,-0.08861178000854952,-84786572.16304514,1790856497.4717221,3.2071669945366845e+18,-0.2872337653256206,-0.08861178000854908,kiri
sultan,2,114.976,180.968,-158824362.36730266,1834819249.4965734,3.3665616783231693e+18,0.8407169633875137,1.1100583703202433,158824362.36730266,1834819249.4965734,3.3665616783231693e+18,-0.8407169633875134,1.1100583703202433,kiri
sultan,3,180.972,181.968,-19353667.250652656,1630077869.458953,2.6571538604998395e+18,0.24633565266521387,0.47036726714404375,19353667.250652656,1630077869.458953,2.657153860499839e+18,-0.246335652665214,0.4703672671440451,kiri
sultan,3,181.972,182.968,42549684.297586314,1688950689.5227568,2.8525544316393953e+18,1.5057387117339143,3.334833122271225,-42549684.29758632,1688950689.5227568,2.8525544316393953e+18,-1.505738711733914,3.334833122271225,kiri
sultan,3,182.972,183.968,11404214.30427189,1633780925.0414436,2.669240111029275e+18,0.6160757450120916,0.6446420410659885,-11404214.304271894,1633780925.0414436,2.669240111029275e+18,-0.6160757450120916,0.6446420410659885,kiri
sultan,3,183.972,184.968,86310213.09610654,1666876875.8398151,2.778478519209502e+18,0.22850650872044817,-0.2944655816579158,-86310213.09610654,1666876875.8398151,2.778478519209502e+18,-0.22850650872044817,-0.29446558165791625,kiri
sultan,3,184.972,185.968,-159607081.22693762,1515724764.7462358,2.297421562465032e+18,1.208107953234908,1.6509556175073952,159607081.22693762,1515724764.7462358,2.297421562465032e+18,-1.2081079532349084,1.650955617507396,kiri
sultan,3,185.972,186.968,140243209.96765754,1469214158.8581388,2.1585902445892283e+18,0.7507845187395301,0.8012775278970223,-140243209.96765757,1469214158.8581388,2.1585902445892285e+18,-0.7507845187395302,0.8012775278970228,kiri
sultan,3,186.972,252.964,157406572.3047554,1554289956.9417987,2.4158172702501386e+18,0.5306185920945631,-0.4951153946069904,-157406572.30475542,1554289956.9417987,2.4158172702501386e+18,-0.5306185920945631,-0.4951153946069904,kiri
