subject,loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,label
syarif,1,12.0,12.996,-48468575.3886873,1815211002.7650282,3.294990984559219e+18,-0.9700908049604537,0.8679689045635457,48468575.3886873,1815211002.765028,3.2949909845592187e+18,0.9700908049604537,0.8679689045635475,belakang
syarif,1,13.0,13.996,-108610656.59263344,1336739673.4363253,1.786872954538654e+18,-0.16378464027779632,-0.24069050801002767,108610656.59263344,1336739673.4363253,1.786872954538654e+18,0.16378464027779632,-0.24069050801002723,belakang
syarif,1,14.0,14.996,132202244.30533603,1406321657.902366,1.9777406054852593e+18,-0.5728782101303193,-0.036779541381083636,-132202244.30533606,1406321657.902366,1.9777406054852593e+18,0.5728782101303193,-0.036779541381083636,belakang
syarif,1,15.0,15.996,-137932499.38387126,1691330689.6719408,2.8605995018261627e+18,-0.43280926457061375,-0.5002923033381994,137932499.38387123,1691330689.6719408,2.8605995018261627e+18,0.4328092645706137,-0.500292303338199,belakang
syarif,1,16.0,16.996000000000002,102034475.26205598,1128132097.4746604,1.2726820293525765e+18,0.15420762753354886,-0.3393655429457936,-102034475.262056,1128132097.4746604,1.2726820293525765e+18,-0.15420762753354875,-0.3393655429457936,belakang
syarif,1,17.0,17.996000000000002,-26315934.55265956,1423698366.767543,2.0269170395365696e+18,-0.6144296452318208,-0.17313300927426845,26315934.552659575,1423698366.767543,2.0269170395365696e+18,0.614429645231821,-0.173133009274268,belakang
syarif,1,18.0,18.996,-71772536.28966771,1342885490.2556999,1.8033414399392911e+18,-0.5883578103060418,-0.10101772715356905,71772536.28966773,1342885490.2556999,1.8033414399392911e+18,0.5883578103060418,-0.10101772715356905,belakang
syarif,1,19.0,84.992,110076482.37996653,1536860018.6122224,2.3619387168087603e+18,-0.7217388524049697,0.48297358965314663,-110076482.37996651,1536860018.6122224,2.3619387168087603e+18,0.7217388524049698,0.4829735896531475,belakang
syarif,2,84.996,85.992,-169472561.22850564,1578613729.8747776,2.492021308149157e+18,-0.32065551732438596,-0.15346098538771935,169472561.22850567,1578613729.8747776,2.492021308149157e+18,0.320655517324386,-0.1534609853877189,belakang
syarif,2,85.996,86.992,91438435.58218265,1291890018.7432017,1.6689798205283103e+18,-0.7485869770261033,0.28858819408564296,-91438435.58218268,1291890018.7432017,1.6689798205283103e+18,0.7485869770261032,0.28858819408564296,belakang
syarif,2,86.996,87.992,93096722.05915108,1042380712.0710468,1.0865575488977427e+18,-0.3762207670382581,-0.2096715235632307,-93096722.0591511,1042380712.0710468,1.0865575488977427e+18,0.3762207670382582,-0.20967152356322982,belakang
syarif,2,87.996,88.992,-39062994.02036712,1527808379.9395282,2.334198445813446e+18,-1.0274388736978481,1.5282890118111299,39062994.02036712,1527808379.9395285,2.3341984458134467e+18,1.0274388736978477,1.528289011811129,belakang
syarif,2,88.996,89.992,-90386082.12016727,1312648279.0304346,1.7230455044415616e+18,-0.766539845358393,0.08710715687327619,90386082.12016726,1312648279.0304344,1.7230455044415613e+18,0.7665398453583931,0.08710715687327708,belakang
syarif,2,89.996,90.992,3107826.3687361986,1487851790.2827644,2.2137029498476273e+18,-0.5438586669617308,0.07912112892068768,-3107826.3687362135,1487851790.2827644,2.2137029498476273e+18,0.5438586669617308,0.07912112892068768,belakang
syarif,2,90.996,156.988,-9681282.055991882,1523594890.368941,2.3213413899583457e+18,-1.2659627533582851,1.8429152253147931,9681282.05599189,1523594890.368941,2.3213413899583457e+18,1.265962753358285,1.8429152253147931,belakang
syarif,3,156.992,157.988,-6553705.636292856,1440340467.0846093,2.0745806611215107e+18,-1.3649810912151077,2.972623663754886,6553705.636292851,1440340467.0846095,2.074580661121511e+18,1.3649810912151075,2.9726236637548853,belakang
syarif,3,157.992,158.988,-20371497.40652682,1567587811.0092375,2.4573315452247327e+18,-0.957381227099013,0.8011109044189468,20371497.406526778,1567587811.0092375,2.4573315452247327e+18,0.9573812270990132,0.8011109044189468,belakang
syarif,3,158.992,159.988,-84706954.42741868,1531438913.762046,2.345305146584676e+18,-0.5554943003883477,-0.22155426265920575,84706954.42741868,1531438913.762046,2.3453051465846753e+18,0.5554943003883479,-0.22155426265920442,belakang
syarif,3,159.992,160.988,-40790795.33984305,1523027026.3236432,2.319611322912239e+18,-0.20968961559232863,-0.9200145491122531,40790795.33984305,1523027026.3236432,2.319611322912239e+18,0.20968961559232863,-0.9200145491122531,belakang
syarif,3,160.992,161.988,124137967.22001697,1647898912.8341153,2.715570826919859e+18,-0.32733659689532935,0.28715010516657724,-124137967.22001696,1647898912.8341153,2.715570826919859e+18,0.3273365968953291,0.28715010516657724,belakang
syarif,3,161.992,162.988,2921225.1970651397,1561059043.289936,2.4369053366372905e+18,-0.579024061796338,-0.6420743249388705,-2921225.197065094,1561059043.2899358,2.43690533663729e+18,0.5790240617963378,-0.642074324938871,belakang
syarif,3,162.992,228.984,43277671.988768555,1338784251.9085884,1.7923432731584387e+18,-0.7278644734857727,0.9633175458592982,-43277671.98876856,1338784251.9085884,1.7923432731584384e+18,0.7278644734857728,0.9633175458592982,belakang
syarif,4,228.988,229.984,-56553010.37851489,1681814347.4513474,2.8284994992932014e+18,-0.8878994799428124,0.6520324585380846,56553010.37851491,1681814347.4513476,2.8284994992932024e+18,0.8878994799428123,0.6520324585380823,belakang
syarif,4,229.988,230.984,71978036.59980203,1350271642.3454165,1.8232335081221883e+18,-0.11305304068308233,-0.7152876354080653,-71978036.599802,1350271642.3454165,1.8232335081221883e+18,0.11305304068308245,-0.7152876354080653,belakang
syarif,4,230.988,231.984,-170845817.64352146,2007682974.6659465,4.0307909267635036e+18,-0.4780623855798774,-0.26545013102532344,170845817.64352146,2007682974.6659465,4.0307909267635036e+18,0.4780623855798774,-0.26545013102532344,belakang
syarif,4,231.988,232.984,20496462.776395537,1717521194.2046006,2.949879052541997e+18,-0.9407234451347679,0.5105431507153897,-20496462.77639557,1717521194.2046006,2.9498790525419976e+18,0.9407234451347682,0.5105431507153879,belakang
syarif,4,232.988,233.984,39008301.890629195,1626033683.0989847,2.64398553857245e+18,-1.0983507376540091,3.3633216302080156,-39008301.89062918,1626033683.0989847,2.64398553857245e+18,1.0983507376540091,3.3633216302080156,belakang
syarif,4,233.988,234.984,98809632.4252049,1822255147.3325438,3.320613821979951e+18,-0.8165166888230518,0.7620452693852058,-98809632.4252049,1822255147.332544,3.3206138219799516e+18,0.8165166888230516,0.7620452693852058,belakang
syarif,4,234.988,300.98,84480311.71042936,1600191431.9119496,2.560612618764416e+18,-0.6633873919048251,0.43453514386229264,-84480311.71042936,1600191431.9119496,2.560612618764416e+18,0.6633873919048251,0.43453514386229175,belakang
syarif,5,300.984,301.98,49643431.77755028,1827336626.1717875,3.339159145348891e+18,-0.9733853856753563,0.7754359445301384,-49643431.77755025,1827336626.1717877,3.3391591453488916e+18,0.9733853856753563,0.7754359445301393,belakang
syarif,5,301.984,302.98,48701537.32948584,1762304267.0670638,3.1057163297227807e+18,0.009216621775044518,-0.39627928686046276,-48701537.3294859,1762304267.0670638,3.1057163297227807e+18,-0.009216621775044518,-0.39627928686046276,belakang
syarif,5,302.984,303.98,28675062.445062835,1944510554.4443228,3.781121296345368e+18,-0.7115162260634643,0.021500460124507903,-28675062.445062835,1944510554.4443228,3.781121296345368e+18,0.711516226063464,0.021500460124507903,belakang
syarif,5,303.984,304.98,-106653525.02962977,1813577731.7711973,3.289064189176361e+18,-0.7746250625725218,1.8743780505220355,106653525.02962977,1813577731.7711973,3.289064189176361e+18,0.7746250625725218,1.8743780505220355,belakang
syarif,5,304.984,305.98,-35248202.748940125,1979491779.5142539,3.918387705164507e+18,-0.5142748201522277,-0.5134018109238303,35248202.748940155,1979491779.5142539,3.918387705164507e+18,0.5142748201522277,-0.5134018109238303,belakang
syarif,5,305.984,306.98,-42110642.543789156,2064213879.3218145,4.2609789395848146e+18,-0.3856512119638501,-0.8972724052511505,42110642.543789126,2064213879.3218145,4.2609789395848146e+18,0.38565121196385066,-0.8972724052511496,belakang
