subject,loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,label
fahri,1.0,12.0,12.996,829755.5538595152,2708083.886297392,7333718335223.586,0.15877337637865485,-0.9311772524536392,-829755.5538595156,2708083.886297392,7333718335223.586,-0.15877337637865443,-0.9311772524536392,belakang
fahri,1.0,13.0,13.996,-677740.1289085201,2047957.2146304597,4194128752956.95,0.31015519899048805,-0.346602792326157,677740.1289085202,2047957.2146304597,4194128752956.95,-0.3101551989904881,-0.346602792326157,belakang
fahri,1.0,14.0,14.996,-218439.7353117401,2688584.1655107685,7228484815035.236,0.07826215085174253,-0.462119012731947,218439.73531174005,2688584.1655107685,7228484815035.236,-0.07826215085174242,-0.462119012731947,belakang
fahri,1.0,15.0,15.996,-28903.62024007821,2945182.196845515,8674098172615.774,0.4507921310663931,-0.021834701332326567,28903.62024007833,2945182.196845515,8674098172615.774,-0.45079213106639304,-0.021834701332326567,belakang
fahri,1.0,16.0,16.996000000000002,-1332484.9953972488,3532785.577134893,12480573934012.316,-0.24822949075108458,-0.45509923257977025,1332484.9953972483,3532785.577134893,12480573934012.316,0.24822949075108514,-0.45509923257976936,belakang
fahri,1.0,17.0,17.996000000000002,73405.33607616139,6891026.840553435,47486250917227.85,0.033659754027611156,-1.431707572991406,-73405.33607616091,6891026.840553435,47486250917227.85,-0.03365975402761126,-1.431707572991406,belakang
fahri,1.0,18.0,18.996,2707422.84558969,3422075.6665767957,11710601867777.02,-0.12053244558708737,-1.1026575558689387,-2707422.84558969,3422075.6665767953,11710601867777.018,0.12053244558708719,-1.1026575558689384,belakang
fahri,1.0,19.0,84.992,-601622.6731864405,2002959.426968119,4011846466080.456,-0.08436472655963889,0.32232984209198356,601622.6731864405,2002959.426968119,4011846466080.456,0.08436472655963916,0.32232984209198356,belakang
fahri,2.0,84.996,85.992,-3135639.1838668007,2987126.1934070694,8922922895338.61,-0.1906342765964174,-0.27315521506787466,3135639.1838668003,2987126.1934070694,8922922895338.61,0.19063427659641774,-0.2731552150678742,belakang
fahri,2.0,85.996,86.992,4031570.478682136,3023060.907703698,9138897251686.309,-0.10593611827800417,-1.0048127272038536,-4031570.478682136,3023060.907703698,9138897251686.309,0.10593611827800409,-1.0048127272038536,belakang
fahri,2.0,86.996,87.992,-269454.91049610625,1875170.5118382738,3516264448467.8135,0.11287343307818742,0.5925153802564105,269454.91049610614,1875170.5118382738,3516264448467.8135,-0.11287343307818704,0.5925153802564105,belakang
fahri,2.0,87.996,88.992,-1102838.408665229,2701867.0407903926,7300085506109.432,-0.8272862179807651,0.5717993545083315,1102838.4086652293,2701867.0407903926,7300085506109.432,0.8272862179807644,0.5717993545083315,belakang
fahri,2.0,88.996,89.992,-508282.100848863,1507451.0078071202,2272408540938.702,-0.1659425680443754,-0.009412667853528678,508282.1008488631,1507451.0078071202,2272408540938.702,0.16594256804437532,-0.00941266785352779,belakang
fahri,2.0,89.996,90.992,446894.21029973164,1836789.5773262277,3373795951374.262,0.20120229030747477,-0.14931655732263405,-446894.21029973164,1836789.577326228,3373795951374.2627,-0.20120229030747497,-0.1493165573226345,belakang
fahri,2.0,90.996,156.988,-26226.47825906518,1692609.908969753,2864928303942.595,-0.25552141145882473,-0.39674816605072527,26226.478259065123,1692609.9089697527,2864928303942.594,0.2555214114588246,-0.39674816605072216,belakang
fahri,3.0,156.992,157.988,345843.1887239301,1864636.8026108174,3476870405650.692,0.03095613282613909,-0.6785122941972936,-345843.18872393016,1864636.8026108174,3476870405650.692,-0.030956132826139245,-0.6785122941972941,belakang
fahri,3.0,157.992,158.988,-696512.7347948625,1911687.7637823897,3654550106195.314,0.37847476506004646,-0.0033009953393818847,696512.7347948627,1911687.7637823897,3654550106195.3135,-0.37847476506004674,-0.0033009953393814406,belakang
fahri,3.0,158.992,159.988,471991.7478194653,1917310.9985182553,3676081465039.069,0.24725633747602693,-0.5328310215109529,-471991.74781946524,1917310.9985182553,3676081465039.069,-0.2472563374760271,-0.5328310215109524,belakang
fahri,3.0,159.992,160.988,1661570.877607701,2895273.595449029,8382609192504.349,0.056001404726221546,-0.7767571534524871,-1661570.877607701,2895273.595449029,8382609192504.347,-0.05600140472622148,-0.7767571534524862,belakang
fahri,3.0,160.992,161.988,-1455199.1058540365,1927373.624078356,3714769086792.936,-0.32534936281376337,-0.3677633704166423,1455199.1058540368,1927373.624078356,3714769086792.936,0.32534936281376314,-0.367763370416641,belakang
fahri,3.0,161.992,162.988,568031.2996926778,2352915.7366112405,5536212463592.816,0.055861775974533734,-0.7201259981895474,-568031.2996926778,2352915.7366112405,5536212463592.817,-0.05586177597453373,-0.7201259981895483,belakang
fahri,3.0,162.992,228.984,1057807.3003591364,2211268.0731955697,4889706491534.048,-0.15249850700458586,0.22761847499511667,-1057807.3003591364,2211268.0731955697,4889706491534.048,0.15249850700458617,0.22761847499511623,belakang
fahri,4.0,228.988,229.984,312929.9920073864,2440428.935571518,5955693389574.73,0.549170052492264,0.35947929091317254,-312929.99200738635,2440428.935571518,5955693389574.73,-0.5491700524922644,0.35947929091317343,belakang
fahri,4.0,229.988,230.984,1526201.618677653,3920538.854402047,15370624908876.115,-0.7142951483642027,-0.621512987438058,-1526201.618677653,3920538.854402047,15370624908876.115,0.7142951483642028,-0.621512987438058,belakang
fahri,4.0,230.988,231.984,-4727652.369325058,2416224.4274887526,5838140483993.35,0.02023877918247117,-0.22325914881357445,4727652.369325058,2416224.427488752,5838140483993.349,-0.020238779182471096,-0.2232591488135749,belakang
fahri,4.0,231.988,232.984,1260153.6492159057,7525176.14163948,56628275962700.055,-0.7089150349126243,-1.059057205835844,-1260153.6492159048,7525176.14163948,56628275962700.06,0.7089150349126245,-1.0590572058358436,belakang
fahri,4.0,232.988,233.984,3547925.7920140116,3026610.1549976394,9160369030334.836,-0.16766492000579625,-0.9697515056389978,-3547925.7920140116,3026610.15499764,9160369030334.838,0.16766492000579594,-0.9697515056389978,belakang
fahri,4.0,233.988,234.984,33353.23064152241,7601558.162334227,57783686495350.11,0.03199687887836338,-1.6402664154062987,-33353.23064152241,7601558.162334226,57783686495350.09,-0.031996878878363395,-1.6402664154062983,belakang
fahri,4.0,234.988,300.98,384006.8747165887,2303022.7878537457,5303913961373.64,-0.42093827406934686,0.3195008365748939,-384006.87471658876,2303022.7878537457,5303913961373.64,0.420938274069347,0.3195008365748939,belakang
fahri,5.0,300.984,301.98,50093.66921725456,1758941.7096183863,3093875937835.252,-0.060093215781874314,-0.22104325196162478,-50093.66921725446,1758941.7096183863,3093875937835.252,0.060093215781874404,-0.22104325196162478,belakang
fahri,5.0,301.984,302.98,-1723867.5437199287,2259279.2088928563,5104342543735.53,-0.46656296855924156,-0.41111100944207735,1723867.5437199287,2259279.208892856,5104342543735.529,0.46656296855924184,-0.41111100944207735,belakang
