corr_landing,corr_terbang,corr_kanan,corr_kiri,corr_depan,corr_belakang,theta_ch0,alpha_ch0,beta_ch0,theta_ch1,alpha_ch1,beta_ch1,subject,loop,command
0.16810774309385573,0.13892587786876417,0.12115256228537154,0.13736811622860273,0.08772178234266503,0.07965442201324442,463854041028.33954,749340606584.0801,964053072577.9717,463854041052.03357,749340606579.3353,964053072577.482,fahri,1,landing
0.20905667335561284,0.08971433111391267,0.08499167350332466,0.1311151485221818,0.04324911243745775,0.08457011902077939,692519773566.7886,664686340172.013,706150552047.1686,692519773594.4287,664686340172.6168,706150552045.6198,fahri,2,landing
0.1669816177339837,0.09755846033483744,0.17461627164615756,0.06259052015344198,0.14572715584769952,0.06613939200591647,555765147639.132,793676307017.9995,772987122376.8837,555765147621.4019,793676307016.2751,772987122377.7959,fahri,3,landing
0.1689954335147211,0.21760318744758997,0.08807906302907083,0.11981865470692424,0.05482263931903713,0.12566164619677647,788670940381.7451,852143869242.7122,560518197326.9714,788670940357.3341,852143869245.7947,560518197326.8784,fahri,4,landing
0.09551695558215097,0.186617999830343,0.09532479751889958,0.06701128560934802,0.15250353742536374,0.037186593447721183,363889060378.4654,760226561619.8772,843147928432.3947,363889060391.0354,760226561619.1451,843147928432.3671,fahri,5,landing
0.17286082093562966,0.08629306994993956,0.13523189129581484,0.09236780154568434,0.06649033577281387,0.06879712352761846,2.8229304865015027e+17,5.92728684017602e+17,1.4563934017644378e+18,2.822930486450026e+17,5.927286840166161e+17,1.4563934017653036e+18,sultan,1,landing
0.09928773369007445,0.07959315428759649,0.09643427328913509,0.14585513140589715,0.08265975899491199,0.08075752648179324,4.3440889293805594e+17,6.370819041205059e+17,1.3598483051129477e+18,4.344088929316541e+17,6.37081904114861e+17,1.359848305112115e+18,sultan,2,landing
0.14002981424176986,0.0840248971651464,0.12309087837383699,0.03709113813265887,0.10796628459350688,0.03533228655412552,3.351789001745872e+17,6.67505699574533e+17,1.2527410315827428e+18,3.35178900187298e+17,6.675056995756343e+17,1.2527410315818898e+18,sultan,3,landing
0.17094458593346742,0.14599304755811618,0.1481798147839982,0.17583012214725038,0.08075320519797037,0.12116575278670216,3.0610667123393306e+17,5.473399454379438e+17,1.0955894383845234e+18,3.061066712308795e+17,5.473399454386039e+17,1.0955894383854227e+18,sultan,4,landing
0.08073645089840883,0.027643720342004584,0.06805518134257581,0.09941968387549165,0.0990043115519042,0.031234005603923136,2.3919284122353683e+17,4.245665638757087e+17,1.0884483696524759e+18,2.391928412309779e+17,4.2456656387627386e+17,1.0884483696528402e+18,sultan,5,landing
0.16244164703017164,0.06434365014543345,0.1523965246174038,0.10476667199349343,0.04354827044775842,0.020776228829664786,2.7015347660233466e+17,4.948755154793522e+17,1.0288444026537626e+18,2.7015347659390077e+17,4.948755154789467e+17,1.0288444026532367e+18,syarif,1,landing
0.12134146904424398,0.1464107598368577,0.12824547163607442,0.12496590221100104,0.08194823239905662,0.025472283260542527,2.4947825294278038e+17,6.402333728432422e+17,1.0971836095087712e+18,2.4947825294655965e+17,6.402333728442487e+17,1.0971836095080671e+18,syarif,2,landing
0.10630222004853908,0.06361240714205735,0.10830108074396738,0.08685053640287099,0.08715295598465214,0.04984698893930929,2.9844539814001e+17,9.121655375666017e+17,1.5228601322613932e+18,2.984453981611899e+17,9.121655375587976e+17,1.5228601322609577e+18,syarif,3,landing
0.10205506796293616,0.11930077539965962,0.07331335182006887,0.1110672477114834,0.04326331617667,0.11018681602661001,3.2430965241032006e+17,8.135290841811894e+17,1.6052822828488374e+18,3.243096524394659e+17,8.135290841893947e+17,1.605282282849667e+18,syarif,4,landing
0.09771212674922333,0.11879217904264261,0.1079476832678174,0.11633337039626858,0.0956161521990415,0.12281077433577091,3.296330970260174e+17,6.234428619177921e+17,1.261751751533769e+18,3.296330970292046e+17,6.234428619137522e+17,1.2617517515336591e+18,syarif,5,landing
0.10534522731714238,0.06319335295935208,0.10986271121276449,0.085374402959046,0.04940803872317914,0.04955213799520595,5.905325354915169e+17,1.011564620155647e+18,2.1354371803253396e+18,5.905325354908785e+17,1.0115646201586575e+18,2.1354371803268152e+18,usamah,1,landing
0.10285322443435808,0.139546868222549,0.09502839104432736,0.16452101469144,0.10296762474098572,0.10114599024418655,5.163493932899178e+17,9.457825941407608e+17,1.8384874785331533e+18,5.163493932836463e+17,9.457825941448878e+17,1.838487478533072e+18,usamah,2,landing
0.13054650030754794,0.07176762215147584,0.10792458054794839,0.1350371872576048,0.10368612897816785,0.20272480232893764,3.212434963265249e+17,5.546547603558444e+17,2.2035483129027738e+18,3.2124349632728205e+17,5.546547603514013e+17,2.2035483129033953e+18,usamah,3,landing
0.18617129068352273,0.1102170891118295,0.1202014754708455,0.07545008128726327,0.07993519637435229,0.10348585095855735,4.707327884765623e+17,1.0450313025033597e+18,2.3796080676733804e+18,4.707327884600208e+17,1.0450313025062802e+18,2.3796080676738806e+18,usamah,4,landing
0.12499730859505412,0.05609590187490485,0.09415013706043743,0.04422211545949211,0.08365159776646863,0.03494655374774776,4.981853798575778e+17,8.038067150284347e+17,2.0119417969764134e+18,4.981853798646925e+17,8.038067150298417e+17,2.0119417969770296e+18,usamah,5,landing
0.25203088422888764,0.20139795353500778,0.12640220226959825,0.1449924428952576,0.03435365513987708,0.053469552181436564,501853819974.8054,584568030487.6421,807567967466.6747,501853819980.921,584568030483.7651,807567967465.743,fahri,1,terbang
0.13792696349010633,0.25641731900965387,0.08423651175775125,0.15109858721937866,0.09206716934766364,0.09764508877566237,382613580912.9236,751729260602.6399,952353836182.3557,382613580914.4916,751729260602.5393,952353836181.2533,fahri,2,terbang
0.09979020061096085,0.17087534164249743,0.08828755632387889,0.06838300372320051,0.05976296799896787,0.08007794325753392,601997763878.0134,1032766373834.544,907285721246.1954,601997763888.1316,1032766373838.9188,907285721246.6104,fahri,3,terbang
0.16482100990361087,0.2549086463736096,0.09605917785238882,0.1173508306103443,0.1055450601003946,0.050633951234759104,317539630296.173,724779118571.7563,587674368311.9567,317539630298.6894,724779118568.6532,587674368311.8445,fahri,4,terbang
0.09846292504062222,0.2389390194246,0.08383419030573086,0.08567182758763524,0.07654562678578856,0.030336786468045888,384528438764.6715,930484392515.7529,711769967688.9744,384528438758.83716,930484392519.9463,711769967689.7502,fahri,5,terbang
0.07600210161283093,0.11053686889829654,0.136667988719875,0.11490390410571687,0.03999050161298076,0.006675843108098338,5.21074523389148e+17,8.777981307487114e+17,1.2160037487330127e+18,5.210745234259022e+17,8.777981307506299e+17,1.2160037487326717e+18,sultan,1,terbang
0.1136239207706407,0.10976288279886456,0.15541239687434366,0.10722153458091156,0.07100150316499468,0.014688402881800575,3.5037908187955546e+17,6.924541402245293e+17,1.0611346386039555e+18,3.503790818813016e+17,6.924541402225586e+17,1.0611346386046186e+18,sultan,2,terbang
0.11249201387456645,0.1126759981478243,0.1389704030619983,0.1674702218646221,0.06540931690086914,0.14125674897015023,2.6776498824414112e+17,6.064949430174639e+17,1.0812366673486132e+18,2.6776498824870998e+17,6.064949430181747e+17,1.0812366673486136e+18,sultan,3,terbang
0.17379044660277004,0.0897096087522982,0.06558938408022061,0.15510933681707162,0.09602836081433869,0.04324495701497192,2.6433982187705754e+17,3.9940619591794125e+17,9.280985898746482e+17,2.6433982187176598e+17,3.9940619591348986e+17,9.280985898748403e+17,sultan,4,terbang
0.12520531540092897,0.07555640231814131,0.12529803098572456,0.10323794275871721,0.13194595291212546,0.16255809927710685,2.2742101273904525e+17,4.1751606574649683e+17,9.043862977581898e+17,2.2742101274096326e+17,4.1751606574825235e+17,9.043862977585318e+17,sultan,5,terbang
0.11972401270535517,0.18551917730119002,0.09396002532084005,0.07410928613997264,0.11264037894590476,0.07849328516445273,2.089746436888155e+17,4.52392016872627e+17,1.010161914862978e+18,2.089746436934443e+17,4.5239201687264806e+17,1.0101619148628364e+18,syarif,1,terbang
