Delta_15.5Hz,Delta_13.5Hz,Delta_11.5Hz,Delta_9.5Hz,Delta_5.5Hz,Delta_7.5Hz,Theta_15.5Hz,Theta_13.5Hz,Theta_11.5Hz,Theta_9.5Hz,Theta_5.5Hz,Theta_7.5Hz,Alpha_15.5Hz,Alpha_13.5Hz,Alpha_11.5Hz,Alpha_9.5Hz,Alpha_5.5Hz,Alpha_7.5Hz,Beta_15.5Hz,Beta_13.5Hz,Beta_11.5Hz,Beta_9.5Hz,Beta_5.5Hz,Beta_7.5Hz,Gamma_15.5Hz,Gamma_13.5Hz,Gamma_11.5Hz,Gamma_9.5Hz,Gamma_5.5Hz,Gamma_7.5Hz,label
-0.9974542098955288,-0.9969966948889012,-0.9963404983728229,-0.9952535671938074,-0.9924869257655388,-0.9929591655417122,-0.9974399382330159,-0.9964352575582157,-0.994705162881009,-0.9885814314231327,-0.7646075161074314,-0.9053000765824554,-0.9987465058050757,-0.9958976694383436,-0.7367244804291456,-0.8736148883095682,-0.9988534933613146,-0.977670534808337,-0.800481617023639,-0.8979710159167573,-0.9076891637605556,-0.9962898646111767,-0.9992515235264429,-0.9989662919843275,-0.9961576883924486,-0.996377704407539,-0.9965466660426205,-0.9966761267903561,-0.996844081706652,-0.9967735727368547,11.5
3.4857123898390796e-07,4.0325999028922865e-07,4.7516656542789804e-07,6.057922592450637e-07,1.2300331710957124e-06,7.685166110160679e-07,1.0189954435801951e-10,1.2683959438319903e-10,1.7385137773828774e-10,1.7289847886736709e-09,1.443016467428393e-08,1.322357162658605e-08,2.8959445952381202e-11,6.689732101605728e-11,2.252826758475379e-09,8.598339484855444e-09,9.621015095717667e-11,7.473068275309913e-10,-0.8857123432177898,-0.8980881728263023,-0.9351312627410578,-0.9764325593769075,-0.9897239930541255,-0.9880323023839882,-0.9977231817465811,-0.9978500356512909,-0.9979481632060497,-0.9980238521030567,-0.9981226249114138,-0.998081087607204,9.5
1.42008848608155e-06,1.7531054958275227e-06,2.2714148825153657e-06,3.2014290556325875e-06,8.550370491411385e-06,5.353846226407999e-06,2.0065754613440845e-10,2.570497703580088e-10,3.71675690225004e-10,1.1646673070409008e-09,4.1757105972983766e-07,2.6501373817655605e-08,1.1558903834085754e-10,1.996876553000959e-10,2.004848287384675e-09,1.7513868688645573e-09,5.3340609706964415e-11,6.913438710398623e-10,-0.8983077224690543,-0.8027368267163664,-0.935477906973689,-0.9914230296386688,-0.997729076657586,-0.9964700931368548,-0.9994663003090276,-0.9995635638895363,-0.999646299903022,-0.9997183841737846,-0.9998403883273718,-0.9997825509687915,5.5
2.627485193307244e-07,3.024299367049288e-07,3.55954024533478e-07,4.320414107583659e-07,3.1312546583395218e-06,5.508557029965111e-07,9.260064937066659e-11,1.128263593663803e-10,1.880589572955671e-10,1.5144344667206155e-09,7.769484250408354e-08,8.654223326853838e-08,4.003219977732897e-11,7.029782311818167e-11,1.5201335190617726e-09,4.865645830687271e-09,8.907097281962706e-11,2.0206197826055927e-10,-0.7152012513991267,-0.8871768121435653,-0.9296011884908858,-0.9885012321413612,-0.9991805360002716,-0.9983348127701746,-0.9941005376908068,-0.994468415371368,-0.9947481843612099,-0.9949609538492623,-0.9952350818141465,-0.9951202661167898,7.5
-0.9978141661143874,-0.997500356664995,-0.997098785119652,-0.9964827042421431,-0.9811779136499857,-0.9947665702991586,5.982125905745761e-11,8.360589998090973e-11,2.021476319669091e-10,2.6543378606191936e-10,5.838160641591372e-07,5.092130528350225e-08,-0.9932267143809297,-0.9898816763036142,-0.65682377465185,-0.6936983902352025,-0.9842723952968735,-0.9068371378330333,-0.8716158584214693,-0.9808527732757912,-0.9283415975298186,-0.9926216882827208,-0.9950095719099376,-0.9929435837983076,-0.9968757189767281,-0.9970674620348231,-0.997215691728279,-0.997329568177601,-0.9974776217551775,-0.9974154510204608,15.5
1.7277417870831258e-06,2.011858468875527e-06,2.422221838771499e-06,3.107692223669467e-06,6.9631436536155e-06,3.4874561555264805e-06,1.7786427886079537e-10,2.155055023322916e-10,2.8029722987099603e-10,4.949859966352221e-10,4.693216537621225e-09,6.556890241871116e-08,3.9762859671554907e-11,1.1153427625920642e-09,1.824428108587739e-09,5.7907151851388505e-09,1.1274015054851816e-10,3.7875330649583816e-10,-0.8702208562515035,-0.5787843711145065,-0.9460490301452609,-0.9934722454170449,-0.9991427359528924,-0.998796691062374,-0.9994315875011391,-0.9995350369572339,-0.9996218548714882,-0.9996968764259881,-0.9998216651122483,-0.999763043181822,13.5
9.93773963731126e-07,1.1641817853624836e-06,1.407360544991576e-06,1.791593649935752e-06,8.522895298901378e-06,2.503281648968958e-06,2.3662899417686845e-10,2.9659874556386967e-10,4.0254977129450253e-10,3.873725784586668e-10,8.691706593344506e-08,2.0858069160745174e-09,1.7011503317121424e-11,2.9271640666905796e-11,1.713266750691389e-10,6.86570134078579e-10,4.584305157706581e-11,4.6030812494990414e-10,-0.8542686566315406,-0.8208075086911093,-0.9600328968298362,-0.9865934749837905,-0.9903950496968529,-0.9888140450268965,-0.9993589854073215,-0.9994085464562645,-0.9994478363729254,-0.9994788028140194,-0.999520007412016,-0.9995025736079981,11.5
3.2107894221145017e-07,3.685213273429966e-07,4.321815714192212e-07,5.217776170574062e-07,8.775495748958306e-07,6.560125813126483e-07,1.5527890084854334e-10,2.354065831156049e-10,4.720887569753529e-10,4.922448837429982e-09,2.2578487357538535e-08,5.290907378885379e-09,9.905631870310572e-11,8.949285756898462e-11,1.635424851098577e-09,3.481436494645607e-08,7.671746571347171e-11,2.0692381141884653e-10,-0.8583280932568863,-0.9524841233642724,-0.9618011602187163,-0.9681258596392265,-0.9931054434547513,-0.9914508860099862,-0.9997093394818839,-0.9996930521541774,-0.9996833919331152,-0.9996776640174104,-0.9996722716581589,-0.9996742575486944,9.5
4.949672861576104e-07,7.109500355095832e-07,1.0831037875469463e-06,1.8911360243345499e-06,5.663257872884353e-05,-3.5185218427713494e-07,3.830957773232058e-09,1.250005027264578e-08,3.2903183011523396e-08,1.6374493827520098e-07,1.0268155159476322e-08,5.890106236083881e-09,5.2332693734058466e-11,3.2667146765419375e-11,1.0974363084947925e-09,2.4237071460930792e-08,8.838724196991166e-11,1.8511209232130454e-10,-0.9301140465339197,-0.8676196782656922,-0.944283276023519,-0.994449274468387,-0.9972938588038932,-0.9974804169840827,-0.9973028699868933,-0.997476311332839,-0.9976075958436775,-0.9977068972776489,-0.9978342667405173,-0.9977809998289456,5.5
6.634028893448551e-07,9.402100042410488e-07,1.3389524201601333e-06,2.007479899313047e-06,6.72446830605189e-05,3.978795656334189e-06,3.162805017886683e-10,4.4213899208500607e-10,5.934255864481486e-10,4.4538022714313286e-09,5.963949911702571e-08,1.174465103503941e-07,3.5328351355445875e-11,1.212814848550181e-10,2.7112275202689773e-09,4.4061276849305386e-10,2.3497148671225432e-11,4.791018692884563e-10,-0.9330348659122054,-0.7347825580030076,-0.958914052707816,-0.9880441969174701,-0.9930338146374224,-0.9919647291869946,-0.997302959679998,-0.9974316143650079,-0.9975329436972135,-0.9976118830460374,-0.9977160643038779,-0.9976721020688964,7.5
