filename,channel,target_freq,peak_freq,peak_amplitude
paeko71_recording_20250830_142246_O1.csv,O1,10,9.436694198227235,2.7883032148552305
paeko71_recording_20250830_142246_O2.csv,O2,10,9.436694198227235,3.1144473011425045
paeko72_recording_20250830_142439_O1.csv,O1,14,12.000352396294804,8.899597088900268
paeko72_recording_20250830_142439_O2.csv,O2,14,12.000352396294804,62.193965603925264
paeko73_recording_20250830_142650_O1.csv,O1,12,10.133718980549967,6.328617623400543
paeko73_recording_20250830_142650_O2.csv,O2,12,10.002724681421864,62.32971588563846
paeko74_recording_20250830_142928_O1.csv,O1,9,8.269095122934301,2.6683694977558927
paeko74_recording_20250830_142928_O2.csv,O2,9,8.269095122934301,2.6078078326435126
paeko75_recording_20250830_143131_O1.csv,O1,8,7.532245062474809,3.8705178218950507
paeko75_recording_20250830_143131_O2.csv,O2,8,7.2047561467150345,117.22513708442932
usamah2_recording_20250830_100733_O1.csv,O1,10,9.455580177276389,5.124489003219824
usamah2_recording_20250830_100733_O2.csv,O2,10,9.455580177276389,5.405972693891583
usamah4_recording_20250830_111127_O1.csv,O1,14,12.252064035440998,56.28206365412656
usamah4_recording_20250830_111127_O2.csv,O2,14,12.012937978252115,39.8187980873796
usamah5_recording_20250830_112549_O1.csv,O1,12,11.688835147118098,2.907784435074506
usamah5_recording_20250830_112549_O2.csv,O2,12,11.191303909713826,6.106183407895386
usamah6_recording_20250830_114322_O1.csv,O1,8,7.17326682789198,126.24550344079582
usamah6_recording_20250830_114322_O2.csv,O2,8,7.17326682789198,85.32233089672994
usamah7_recording_20250830_115027_O1.csv,O1,9,7.721180975413141,5.636704370760038e-13
usamah7_recording_20250830_115027_O2.csv,O2,9,10.183645707376058,2.7341502749073627
