sample,value
0,0.0000000000
1,2747.9011115910
2,2784.9603038979
3,2772.7562514253
4,2748.9739953248
5,2731.8525590721
6,2752.4832192043
7,2788.6930452219
8,2768.4647164899
9,2742.4025824550
10,2712.3841896515
11,2739.3403934646
12,2781.8310596742
13,2766.2295420443
14,2743.1625417665
15,2712.1383204625
16,2734.0206782842
17,2774.2091148149
18,2755.6124634281
19,2734.8476928291
20,2715.8263582976
21,2738.6251376420
22,2770.6998909354
23,2759.3899082410
24,2730.6455648715
25,2701.4094831240
26,2730.3326404491
27,2769.8058211572
28,2756.4841814618
29,2734.0206782842
30,2706.7515500488
31,2741.4638091879
32,2776.6678067050
33,2758.0041000848
34,2742.0226027992
35,2713.4794251298
36,2734.2218439843
37,2767.6824054339
38,2758.3393762516
39,2727.4492654144
40,2698.2131836668
41,2733.6406986285
42,2768.3976612565
43,2748.2363877578
44,2733.4618846729
45,2705.7010180594
46,2730.6902683604
47,2756.1265535505
48,2739.2733382312
49,2714.3287914191
50,2678.3201311016
51,2708.8749657720
52,2757.8923413625
53,2738.6698411310
54,2709.7243320613
55,2694.0334074537
56,2718.6650298435
57,2741.5308644212
58,2718.3521054211
59,2703.9575819919
60,2678.9012764575
61,2715.8487100421
62,2759.9710535969
63,2739.5192074203
64,2710.1937186949
65,2684.0198259377
66,2716.1169309755
67,2753.4443442159
68,2735.0265067847
69,2708.4279308829
70,2683.3492736041
71,2705.4327971259
72,2745.4200679565
73,2729.7291433488
74,2715.9381170199
75,2681.6058375366
76,2702.2141459243
77,2738.1110475196
78,2719.9167275330
79,2701.8565180131
80,2674.5650380331
81,2701.4541866129
82,2743.0507830442
83,2726.8904718030
84,2707.8914890160
85,2679.3930148355
86,2699.9342679899
87,2740.3909254540
88,2725.3034979467
89,2697.2967621442
90,2668.7535844748
91,2700.2695441567
92,2744.1236667780
93,2732.9030910615
94,2713.9935152523
95,2681.1811543919
96,2697.8555557556
97,2736.2558527298
98,2718.1956432099
99,2684.4668608268
100,2650.9392441439
101,2684.0868811711
102,2722.5318816342
103,2703.4658436138
104,2685.0927096716
105,2658.5388372587
106,2690.4347765964
107,2738.1557510085
108,2712.0265617402
109,2697.2073551664
110,2656.4377732799
111,2674.9673694333
112,2718.8438437991
113,2706.2821634152
114,2683.1257561595
115,2661.1539913599
116,2682.3434451036
117,2723.4706549013
118,2718.9779542658
119,2686.3891108500
120,2650.8498371661
121,2664.3502908171
122,2713.1441489630
123,2716.1392827200
124,2686.9479044614
125,2655.3648895460
126,2672.4639740543
127,2722.2189572118
128,2716.4075036535
129,2686.2773521277
130,2657.3765465470
131,2674.7215002443
132,2712.4288931404
133,2703.3093814027
134,2682.2763898702
135,2651.2745203107
136,2662.7409652163
137,2713.4794251298
138,2698.7049220449
139,2673.0451194102
140,2645.0830870966
141,2664.8867326840
142,2714.6417158415
143,2698.7719772782
144,2669.9605786753
145,2651.3862790330
146,2673.8050787217
147,2717.7709600652
148,2701.5212418462
149,2686.1432416610
150,2655.9907383908
151,2667.2113141073
152,2713.3676664075
153,2699.7107505454
154,2673.2239333658
155,2645.6642324524
156,2664.8420291951
157,2706.3939221375
158,2696.3132853881
159,2677.1578403899
160,2651.1627615884
161,2666.1160786290
162,2704.5387273477
163,2695.5980295656
164,2668.8206397081
165,2645.2842527967
166,2654.7390407013
167,2697.7885005222
168,2692.8040615087
169,2674.8556107111
170,2641.0374213502
171,2647.0276888642
172,2687.9090294730
173,2688.6019335511
174,2667.9265699299
175,2634.3095462691
176,2653.3755842895
177,2700.3813028790
178,2695.7097882879
179,2665.7360989733
180,2640.1880550609
181,2653.8002674342
182,2695.6650847989
183,2697.8108522667
184,2679.7059392579
185,2643.2725957957
186,2646.8488749086
187,2684.8691922270
188,2678.1189654015
189,2671.1899246204
190,2650.4698575103
191,2658.9635204033
192,2695.6874365434
193,2682.1199276590
194,2650.8945406550
195,2616.0034675602
196,2632.6108136905
197,2684.9585992049
198,2670.8770001980
