sample,value
0,0.0000000000
1,-2840.3479266581
2,-2728.9915357818
3,-2744.1013150336
4,-2798.5278127823
5,-2891.9134011165
6,-2835.4305428780
7,-2730.9137858050
8,-2768.9341031234
9,-2829.1049991971
10,-2897.5013372304
11,-2839.5432638578
12,-2742.1343615215
13,-2777.4054142720
14,-2821.9971444603
15,-2900.2506017984
16,-2843.7900953043
17,-2716.5639658647
18,-2752.4161639710
19,-2813.9952199453
20,-2911.8511571707
21,-2860.2633309678
22,-2723.1353787345
23,-2746.4258964569
24,-2800.9865046723
25,-2895.7131976739
26,-2833.3518306436
27,-2711.3560094066
28,-2757.1770855399
29,-2829.9767172309
30,-2890.9075726160
31,-2832.3460021431
32,-2724.0294485127
33,-2754.7854488832
34,-2805.6803710080
35,-2898.6189244531
36,-2864.3089967142
37,-2741.3073469767
38,-2732.2995939612
39,-2786.3461120541
40,-2883.0174068233
41,-2850.1826942185
42,-2716.1392827200
43,-2744.4365912004
44,-2799.4442343049
45,-2889.0076743373
46,-2854.4071739205
47,-2753.1314197935
48,-2774.2761700483
49,-2795.4656237919
50,-2885.1855260355
51,-2845.0194412493
52,-2676.7555089898
53,-2730.5561578937
54,-2799.6901034939
55,-2882.5480201898
56,-2841.3314034142
57,-2702.3929598800
58,-2731.7855038387
59,-2800.0030279163
60,-2894.6403139401
61,-2849.3109761847
62,-2726.3763816805
63,-2765.0896030771
64,-2816.8562432356
65,-2877.0494910538
66,-2847.0534499947
67,-2732.9701462948
68,-2741.3744022100
69,-2813.6599437785
70,-2912.2534885709
71,-2861.7832495908
72,-2732.5901666391
73,-2740.8603120876
74,-2798.6172197601
75,-2881.6092469226
76,-2836.4140196340
77,-2702.0353319687
78,-2732.5454631502
79,-2790.5035365228
80,-2874.1214125301
81,-2854.3401186872
82,-2728.6115561261
83,-2767.7047571784
84,-2810.6648100215
85,-2872.1321072736
86,-2852.0602407527
87,-2720.2296519553
88,-2750.9633005814
89,-2813.3470193561
90,-2889.0300260818
91,-2873.2496944964
92,-2772.9127136365
93,-2745.4424197009
94,-2800.8076907167
95,-2879.8211073662
96,-2835.2293771779
97,-2711.4007128955
98,-2753.3325854936
99,-2816.1409874130
100,-2892.8521743837
101,-2838.8280080352
102,-2706.9080122600
103,-2739.5862626536
104,-2790.9282196675
105,-2872.8920665851
106,-2863.0349472803
107,-2742.3355272216
108,-2760.4404402304
109,-2816.8785949801
110,-2904.7656541783
111,-2869.7851741058
112,-2739.3627452091
113,-2772.5774374697
114,-2821.4830543379
115,-2880.6034184222
116,-2864.7336798589
117,-2742.7602103663
118,-2750.9185970925
119,-2804.8533564631
120,-2880.3575492331
121,-2860.5315519013
122,-2747.7893528687
123,-2781.6298939741
124,-2828.2556329078
125,-2864.3089967142
126,-2871.0145200508
127,-2751.8573703596
128,-2754.0031378273
129,-2806.5073855528
130,-2882.7491858899
131,-2868.1534967605
132,-2740.8826638320
133,-2749.8010098697
134,-2794.6162575026
135,-2883.9114766015
136,-2874.3896334636
137,-2753.8913791050
138,-2774.9467223819
139,-2820.9019089820
140,-2891.4663662274
141,-2876.2448282534
142,-2731.3608206941
143,-2732.5901666391
144,-2797.7678534708
145,-2905.9055931456
146,-2912.3652472931
147,-2743.5872249111
148,-2727.1810444809
149,-2798.4831092934
150,-2903.0222181108
151,-2891.7569389054
152,-2742.6484516440
153,-2751.0303558147
154,-2805.5239087968
155,-2885.2525812689
156,-2870.0310432948
157,-2744.6601086450
158,-2750.0245273142
159,-2800.0253796608
160,-2873.4955636854
161,-2873.8084881077
162,-2772.6891961919
163,-2755.0983733056
164,-2785.3402835536
165,-2857.1340867441
166,-2860.3080344567
167,-2743.8107423557
168,-2752.7737918823
169,-2822.4665310939
170,-2916.0309333838
171,-2901.9046308881
172,-2759.3228530077
173,-2765.8942658775
174,-2830.6472695645
175,-2883.9561800904
176,-2875.6413311531
177,-2763.0332425872
178,-2782.4792602634
179,-2836.5257783563
180,-2881.4974882004
181,-2871.3944997066
182,-2757.1100303066
183,-2752.2149982709
184,-2813.7046472674
185,-2894.3497412622
186,-2906.2855728013
187,-2784.3791585421
188,-2779.8417544176
189,-2817.4820920804
190,-2885.0514155688
191,-2908.0290088688
192,-2787.8660306771
193,-2782.5016120078
194,-2853.6248628646
195,-2909.8171484252
196,-2891.4887179719
197,-2766.1848385554
198,-2774.3208735372
199,-2830.0214207198
200,-2918.1543491071
201,-2940.3943348401
202,-2782.1663358410
203,-2766.7212804224
204,-2834.6258800776
205,-2908.9230786470
206,-2916.5450235063
207,-2809.3460570986
208,-2782.0545771187
209,-2806.0827024082
210,-2901.6140582101
211,-2933.7558667369
212,-2807.9155454535
213,-2778.5677049837
214,-2839.0738772242
215,-2924.1222648766
216,-2920.1660061080
217,-2791.3305510677
218,-2790.7047022229
219,-2845.8464557942
220,-2931.5430440358
221,-2950.9890617119
222,-2815.0681036792
223,-2801.7241122394
224,-2846.6958220835
225,-2904.5197849893
226,-2913.1922618380
227,-2795.8903069365
228,-2801.6570570060
229,-2835.8328742782
230,-2891.5557732053
231,-2930.3360498352
232,-2821.6171648046
233,-2810.0389611767
234,-2830.4908073534
235,-2889.3205987597
236,-2933.6888115035
237,-2806.0156471748
238,-2778.7018154504
239,-2826.4227898625
240,-2895.2885145293
241,-2931.5206922913
242,-2816.8562432356
243,-2804.9427634409
244,-2880.4022527221
245,-2977.0511957468
246,-2988.6964546080
247,-2779.5064782508
248,-2752.8408471156
249,-2815.1128071681
250,-2903.9833431224
251,-2935.5887097822
252,-2827.8980049965
253,-2818.0855891807
254,-2847.9251680285
255,-2902.0163896103
256,-2950.9220064785
257,-2817.2809263803
