freq_hz,power
0.000000,17519.6609716247
0.100725,48224.1896922937
0.201450,5215.4528235642
0.302176,2365.0772867315
0.402901,3816.4084369033
0.503626,264.0036285067
0.604351,107.2854994078
0.705077,135.9771352746
0.805802,36.6664665116
0.906527,305.3301653711
1.007252,828.3213499483
1.107977,1148.0605949602
1.208703,542.7274127706
1.309428,382.4478773497
1.410153,94.6824372189
1.510878,2417.4843172729
1.611604,1380.9995257124
1.712329,307.5483909583
1.813054,27.4695266524
1.913779,175.4189069591
2.014504,302.1459402211
2.115230,1635.9963739588
2.215955,764.6306607232
2.316680,74.8753344397
2.417405,141.8423927411
2.518131,190.6921072711
2.618856,2.3495143458
2.719581,610.2147796657
2.820306,1187.6256767189
2.921031,763.4416755218
3.021757,330.2962037277
3.122482,378.4442450726
3.223207,24.8847342063
3.323932,646.6137085884
3.424658,933.5831714727
3.525383,647.5435976325
3.626108,99.5443582746
3.726833,214.5204924570
3.827558,215.8487151741
3.928284,84.4360007259
4.029009,131.2118776275
4.129734,102.5720717451
4.230459,177.6725815103
4.331185,209.1237363454
4.431910,215.3297052939
4.532635,362.8849831692
4.633360,463.2828062811
4.734085,531.6898983882
4.834811,574.3241995035
4.935536,207.0410546506
5.036261,609.0695270616
5.136986,1113.4675608204
5.237712,316.1652205920
5.338437,55.5810188231
5.439162,449.3507900301
5.539887,233.7188257091
5.640612,33.4202793286
5.741338,37.6110633305
5.842063,75.4771436943
5.942788,41.0405473566
6.043513,217.1373797044
6.144239,163.4932892634
6.244964,1.1004839461
6.345689,28.7060237018
6.446414,74.9843606416
6.547139,15.3075160727
6.647865,58.9836516848
6.748590,59.8738778881
6.849315,29.7186516720
6.950040,40.7109862149
7.050766,10.2404085154
7.151491,32.4287774564
7.252216,189.8899649583
7.352941,633.6055693320
7.453666,459.0700143322
7.554392,17.0909745213
7.655117,6.4936961157
7.755842,182.5990617078
7.856567,225.1764095315
7.957293,184.0192251080
8.058018,195.8682278065
8.158743,58.1694028907
8.259468,60.7111936769
8.360193,40.2531630472
8.460919,109.2934067057
8.561644,311.7817713734
8.662369,672.6708591224
8.763094,1266.8959720788
8.863820,1127.6470230449
8.964545,787.4003050576
9.065270,572.4682187871
9.165995,262.7442145466
9.266720,381.1148724368
9.367446,2340.1711736606
9.468171,3575.6519025136
9.568896,1925.2491387829
9.669621,1253.3353374600
9.770346,1165.2916990521
9.871072,722.8261848389
9.971797,301.2723720955
10.072522,123.0181057008
10.173247,56.7769172475
10.273973,142.9256925403
10.374698,53.6835019466
10.475423,295.7367362670
10.576148,460.5943653207
10.676873,45.7753580816
10.777599,70.0224343384
10.878324,239.5812699033
10.979049,7.3470687391
11.079774,122.7592313136
11.180500,68.0076029449
11.281225,231.2290521862
11.381950,295.2288603872
11.482675,260.6841623893
11.583400,190.1915166034
11.684126,62.1020133973
11.784851,69.2529201661
11.885576,35.0282549644
11.986301,41.0231173904
12.087027,89.4766636393
12.187752,35.7194962282
12.288477,600.1044869646
12.389202,303.2493875141
12.489927,167.3469780317
12.590653,131.3906110672
12.691378,24.3636557296
12.792103,167.8187103855
12.892828,302.3538605041
12.993554,181.6547917160
13.094279,18.9796003185
13.195004,249.8338324616
13.295729,252.7281718620
13.396454,85.7463712665
13.497180,67.2357800971
13.597905,258.4133089181
13.698630,427.2742610638
13.799355,175.8445758710
13.900081,136.8466672883
14.000806,69.2397082339
14.101531,16.2970120056
14.202256,62.8576880334
14.302981,15.0489880789
14.403707,112.3641411438
14.504432,212.0353435118
14.605157,97.5695155198
14.705882,21.5896676452
14.806608,49.2533786697
14.907333,50.6580752242
15.008058,233.6111218480
15.108783,360.8138788722
15.209508,28.7920597851
15.310234,126.7984028859
15.410959,15.1953911920
15.511684,165.6579882720
15.612409,132.3353077810
15.713135,16.3169850501
15.813860,8.7751620586
15.914585,194.6889390235
16.015310,226.8769089299
16.116035,136.4037043514
16.216761,27.5605338619
16.317486,6.3433201034
16.418211,7.0621269532
16.518936,19.0197604392
16.619662,35.5631810427
16.720387,15.9533728213
16.821112,70.8899288152
16.921837,128.6351875756
17.022562,29.8173106221
17.123288,10.7462218140
17.224013,55.7535820029
17.324738,109.8731712510
17.425463,63.4349497519
