sample,value
0,17802.0692231738
1,18747.7491793334
2,18764.2671184858
3,18316.6510840238
4,17664.4048290735
5,17796.3918800821
6,18748.7550078338
7,18765.9658510644
8,18308.7385664867
9,17655.0170964023
10,17787.6970514890
11,18732.0806064702
12,18752.1301212466
13,18311.5325345436
14,17663.8013319732
15,17799.5658277948
16,18749.4926154009
17,18769.1621505215
18,18325.0553399390
19,17675.0442594343
20,17793.8437812142
21,18747.7044758444
22,18774.2136447684
23,18331.2020696643
24,17684.9684339724
25,17796.0789556597
26,18746.6762955995
27,18775.6218046691
28,18322.1496131599
29,17673.4572855779
30,17789.1499148786
31,18741.0436559968
32,18770.2126825109
33,18326.3293893730
34,17676.8323989907
35,17796.8836184601
36,18750.0737607567
37,18780.4497814715
38,18338.8910697569
39,17693.9314834990
40,17799.4987725614
41,18751.8842520576
42,18788.2281885419
43,18342.5791075920
44,17694.4008701326
45,17795.6989760040
46,18748.7326560894
47,18791.2680257878
48,18346.8482907830
49,17694.9373119995
50,17792.5920835247
51,18748.1515107335
52,18790.5304182208
53,18347.0941599720
54,17693.6632625655
55,17783.6290339981
56,18740.5072141298
57,18787.9599676085
58,18339.6733808128
59,17685.9072072395
60,17783.2490543424
61,18742.5859263642
62,18788.4070024976
63,18339.3604563904
64,17692.7691927873
65,17784.4784002874
66,18740.6860280855
67,18797.1688863240
68,18362.7627328351
69,17712.4610796524
70,17791.7427172354
71,18744.0164380093
72,18793.3467380222
73,18348.1670437058
74,17695.8313817777
75,17778.4210775400
76,18730.0689494692
77,18780.1368570491
78,18335.4712528552
79,17689.8411142637
80,17773.5036937599
81,18729.5101558578
82,18785.4342204850
83,18341.1932994358
84,17685.5272275838
85,17760.5843854647
86,18714.6462457950
87,18781.0532785718
88,18337.0582267115
89,17691.4951433534
90,17766.4852460009
91,18717.7754900188
92,18787.1106013191
93,18349.9551832623
94,17693.8644282656
95,17768.0051646239
96,18716.6131993071
97,18789.4128309980
98,18359.1417502334
99,17704.8838382821
100,17765.0100308669
101,18719.4742225974
102,18792.5420752218
103,18353.6655728418
104,17700.5252481133
105,17761.2102343095
106,18713.3498446166
107,18784.9871855959
108,18346.1553867048
109,17699.4076608905
110,17764.0712575997
111,18721.2847138983
112,18795.4478020010
113,18352.6373925969
114,17697.0607277227
115,17751.4201702380
116,18708.7677370033
117,18787.1106013191
118,18351.7209710742
119,17699.0053294903
120,17746.1675102910
121,18706.4655073244
122,18788.5411129643
123,18358.0018112662
124,17708.3036551838
125,17745.3851992351
126,18696.7648502308
127,18785.1436478071
128,18347.9435262613
129,17695.0937742107
130,17744.8487573682
131,18711.6734637825
132,18793.2796827888
133,18354.5372908756
134,17705.2638179378
135,17740.5125189439
136,18701.0116816773
137,18788.0717263307
138,18355.0513809981
139,17710.4941261404
140,17745.8098823798
141,18701.2128473774
142,18794.1514008226
143,18354.3137734310
144,17704.8838382821
145,17735.9751148194
146,18695.8707804526
147,18785.6800896740
148,18353.7102763307
149,17704.3250446707
150,17737.8526613537
151,18704.7891264903
152,18807.4283370290
153,18377.0231457976
154,17725.7603676033
155,17743.3958939786
156,18708.8347922367
157,18807.8530201737
158,18373.4915701737
159,17727.2579344819
160,17743.1947282785
161,18702.6657107670
162,18803.7850026828
163,18368.0824480155
164,17722.6534751241
165,17729.0460740383
166,18697.6589200090
167,18811.5187062643
168,18378.9230440763
169,17729.4931089274
170,17738.4785101984
171,18700.0505566657
172,18804.6790724610
173,18373.2680527291
174,17729.5378124163
175,17729.3813502051
176,18685.4772192809
177,18795.2689880453
178,18362.9191950463
179,17714.7409575869
180,17710.6058848626
181,18675.7989139317
182,18790.0163280983
183,18360.4157996673
184,17722.0946815127
185,17723.7934140913
186,18695.1331728856
187,18810.7810986973
188,18377.0231457976
189,17735.5280799303
190,17722.5640681462
191,18673.0943528526
192,18781.9249966055
193,18347.2282704387
194,17704.6379690931
195,17686.2424834064
196,18649.2226897744
197,18775.9347290915
198,18347.1835669498
199,17709.6000563622
200,17700.1899719465
201,18663.0137161033
202,18789.3234240202
203,18361.7792560791
204,17721.6699983680
205,17700.1899719465
206,18663.5501579702
207,18793.6596624446
208,18363.2321194687
209,17715.2997511983
210,17701.6875388250
211,18670.6803644515
212,18794.5090287339
213,18355.3419536760
214,17716.3502831877
215,17695.8537335221
216,18656.0846753221
217,18788.8093338978
218,18363.3885816799
219,17723.7040071135
220,17689.1482101856
221,18646.8757566066
222,18786.2165315409
223,18359.0299915111
224,17721.9605710459
225,17696.2113614334
226,18652.4413409759
227,18785.2554065294
228,18359.3652676779
229,17716.3055796988
230,17685.1919514170
231,18643.8582711051
232,18795.2019328120
233,18368.5294829046
234,17722.5193646573
235,17678.7322972694
236,18633.8223378447
237,18784.8977786181
238,18364.8637968139
239,17724.6651321250
240,17681.1462856706
241,18630.2013552429
242,18783.1766942950
243,18364.1261892469
244,17731.4377106950
245,17685.7283932839
246,18637.9797623133
247,18796.0960025902
248,18373.7150876182
249,17727.6826176265
250,17671.9820704439
251,18623.0040935283
252,18783.4896187174
253,18366.5848811370
254,17725.2462774809
255,17671.9150152105
256,18637.3315617241
257,18787.2223600414
258,18362.8968433019
259,17720.2841902118
260,17667.8022942307
261,18622.4900034058
262,18786.3506420077
263,18354.2243664532
264,17717.7584430883
265,17655.6205935026
266,18608.6989770769
267,18776.2700052583
268,18356.8395205545
269,17716.8643733101
270,17656.1123318806
271,18611.4035381560
272,18775.8676738581
273,18359.6111368669
274,17715.7691378318
275,17643.2600788188
276,18599.4900583613
277,18777.7228686479
278,18360.1475787339
279,17726.4085681925
280,17647.2163375874
281,18598.8418577721
282,18771.1067522891
283,18352.3021164301
284,17716.7079110989
285,17646.9481166539
286,18597.6572153160
287,18776.3147087472
288,18361.5780903790
289,17724.1510420026
290,17654.0112679018
291,18606.4414508869
292,18782.1038105612
293,18362.6286223684
294,17732.7117601289
295,17653.2066051014
296,18597.2548839158
297,18782.7073076615
298,18368.3953724379
299,17731.5494694173
300,17649.6303259886
301,18600.4064798840
302,18786.7306216634
303,18371.6587271284
304,17734.9916380634
305,17642.0754363627
306,18589.3200146341
307,18778.2146070259
308,18367.5013026597
309,17740.9148503440
310,17649.0044771438
311,18597.9254362494
312,18785.8589036297
313,18363.8803200579
314,17721.5582396458
315,17628.8879071340
316,18583.6426715425
317,18774.9512523355
318,18367.9036340599
319,17731.2812484838
320,17633.0006281138
321,18584.5367413207
322,18779.7568773934
323,18367.5683578930
324,17732.3317804732
325,17625.8927733770
326,18574.1655318934
327,18776.8735023586
328,18359.3429159335
329,17727.5932106487
330,17626.6750844330
331,18577.6300522840
332,18776.4488192140
333,18349.7093140732
334,17716.5067453988
335,17616.1250610501
336,18572.3103371036
337,18785.6130344406
338,18364.5061689027
339,17735.1704520190
340,17612.1240987926
341,18557.5134822742
342,18768.0222115543
343,18347.4294361388
344,17720.5971146342
345,17599.4506596864
346,18538.0004093648
347,18751.2360514684
348,18339.0922354570
349,17706.5602191162
350,17580.2952146882
351,18528.7020836713
352,18743.8152723092
353,18332.2078981647
354,17706.0908324827
355,17578.7082408319
356,18526.0869295701
357,18754.6335166256
358,18342.9814389922
359,17710.5164778848
360,17582.8209618117
361,18527.2045167928
362,18750.4984439014
363,18335.9182877443
364,17707.0296057498
365,17578.4847233873
366,18529.9314296164
367,18761.4507986845
368,18355.7666368206
369,17716.5961523767
370,17575.1319617190
371,18521.5495254456
372,18758.4780166719
373,18353.8667385419
374,17720.5524111453
375,17583.5362176342
376,18535.3182000301
377,18764.4012289526
378,18357.5547763771
379,17734.7234171299
380,17590.8228863267
381,18534.8488133966
382,18772.2019877675
383,18364.1708927358
384,17723.4357861800
385,17583.8044385677
386,18526.8692406260
387,18767.6645836430
388,18360.3710961784
389,17729.1354810161
390,17584.3855839235
391,18527.3609790040
392,18760.0426387838
393,18355.8336920540
394,17730.9906758059
395,17575.7801623082
396,18512.4970689412
397,18758.2544992273
398,18353.7996833086
399,17727.2802862263
400,17571.5780343506
401,18518.1520602884
402,18761.3390399622
403,18352.1680059633
404,17720.7535768454
405,17560.1339411895
406,18500.6729961244
407,18751.6830863575
408,18345.7530553047
409,17720.4853559119
410,17565.1407319475
411,18503.8469438370
412,18758.2321474829
413,18355.0066775092
414,17728.9119635715
415,17560.9609557344
416,18496.4261646779
417,18752.8006735803
418,18348.3682094059
419,17721.8264605792
420,17555.3506678761
421,18485.7643825727
422,18748.5985456227
423,18350.8716047849
424,17727.4143966930
425,17552.5566998192
426,18487.5301703847
427,18746.8104060662
428,18344.4790058707
429,17718.9207338000
430,17545.3147346157
431,18479.7517633142
432,18743.7482170759
433,18342.5344041031
434,17715.7914895763
435,17539.7267985018
436,18476.6895743238
437,18749.4926154009
438,18343.7413983037
439,17719.2113064779
440,17541.4478828249
441,18476.7119260683
442,18744.6646385985
443,18341.2156511802
444,17721.1112047566
445,17532.2166123648
446,18462.2726991502
447,18733.3099524152
448,18325.8152992505
449,17706.2472946939
450,17522.6724174824
451,18453.8460914905
452,18736.6403623391
453,18345.1048547154
454,17720.9100390565
455,17526.6733797399
456,18452.6614490344
457,18737.5567838617
458,18344.9483925043
459,17717.3337599437
460,17528.5062227853
461,18462.8091410171
462,18743.6811618425
