freq_hz,power
0.000000,4656019.2476217663
0.100685,4620965.2270017304
0.201369,685478.5668832263
0.302054,109732.1916853564
0.402739,73162.1701447560
0.503423,9307.2683849977
0.604108,41.6523290047
0.704793,1961.7872612672
0.805477,8435.1849514353
0.906162,3979.3632275288
1.006847,934.1772908531
1.107531,1675.7051136074
1.208216,2432.8076440124
1.308901,5167.4207207567
1.409585,792.8631075623
1.510270,1419.3559860450
1.610954,422.2844302482
1.711639,467.6780313552
1.812324,548.8328898746
1.913008,556.6431336602
2.013693,2078.6911409067
2.114378,1584.6948575931
2.215062,592.2292637557
2.315747,862.1869216990
2.416432,137.2779636748
2.517116,171.2265979105
2.617801,482.8803030174
2.718486,1448.3724350759
2.819170,1301.3481987976
2.919855,140.6524659900
3.020540,138.7039960201
3.121224,289.3678273182
3.221909,418.4956383024
3.322594,7.7986057919
3.423278,22.7210852574
3.523963,2.4494898674
3.624648,390.6362503652
3.725332,1060.0563795938
3.826017,1272.4083801548
3.926702,964.4811755391
4.027386,504.3162661844
4.128071,155.7358154679
4.228756,168.4464239744
4.329440,1032.8784999987
4.430125,613.3521371250
4.530810,844.0841783909
4.631494,665.0909482968
4.732179,94.6516900231
4.832863,201.1071191478
4.933548,1.8491486294
5.034233,90.3245017150
5.134917,33.6319543832
5.235602,70.0857748050
5.336287,48.1267451800
5.436971,229.5817480648
5.537656,266.0715129532
5.638341,132.4486079572
5.739025,185.9637372028
5.839710,248.5299219728
5.940395,179.9957865898
6.041079,290.8060314997
6.141764,454.2301047539
6.242449,51.1212798439
6.343133,201.1829797333
6.443818,454.0806787081
6.544503,117.5540751609
6.645187,6.7266110701
6.745872,4.6732475470
6.846557,102.0476891814
6.947241,264.6380994862
7.047926,32.6206594385
7.148611,226.2269674273
7.249295,1217.2854871615
7.349980,910.2751835138
7.450665,525.4844659308
7.551349,983.9970544200
7.652034,540.2973484670
7.752718,745.4448024860
7.853403,583.0253690995
7.954088,110.9859771140
8.054772,366.6342430346
8.155457,464.7183030089
8.256142,128.3841689295
8.356826,207.1335180538
8.457511,129.5266749380
8.558196,572.5556829935
8.658880,445.5276579985
8.759565,145.6394141400
8.860250,16.7697041034
8.960934,25.9513338856
9.061619,211.7242106675
9.162304,209.9906811905
9.262988,188.0970937702
9.363673,845.0493509934
9.464358,1865.4885871364
9.565042,907.4221499844
9.665727,125.0746561824
9.766412,46.4328003885
9.867096,242.1038206470
9.967781,206.6853072294
10.068466,84.4729935729
10.169150,104.5152945334
10.269835,4.9096488699
10.370520,34.0407783984
10.471204,84.6408547784
10.571889,775.6625386112
10.672573,246.3169212908
10.773258,22.8512340229
10.873943,228.9109385889
10.974627,682.5605929267
11.075312,208.0891115377
11.175997,86.8672417817
11.276681,244.4657316366
11.377366,1561.1284500266
11.478051,2028.7659196317
11.578735,1260.0535434836
11.679420,515.0223952719
11.780105,23.2181520249
11.880789,63.6485146572
11.981474,174.1757562164
12.082159,799.2192217234
12.182843,1167.5027954876
12.283528,822.4604197086
12.384213,709.2620849429
12.484897,904.8823470656
12.585582,272.7553575998
12.686267,415.4519901219
12.786951,496.9116434046
12.887636,367.6454603622
12.988321,442.0822781830
13.089005,79.9927948924
13.189690,244.3033934702
13.290375,126.7757763504
13.391059,150.5075182364
13.491744,86.6546504067
13.592429,150.5093999412
13.693113,184.2378383484
13.793798,791.4585175434
13.894482,565.1330198549
13.995167,77.0314123994
14.095852,120.4658131823
14.196536,488.8233085000
14.297221,354.5461137643
14.397906,58.4172981388
14.498590,335.1746242914
14.599275,348.8228429216
14.699960,83.7768719623
14.800644,25.4826632252
14.901329,36.9485674909
15.002014,101.6074880490
15.102698,37.1856145495
15.203383,143.1928520078
15.304068,54.7688289839
15.404752,289.3511592182
15.505437,81.7942283805
15.606122,231.2342440686
15.706806,377.4919696339
15.807491,79.6249557303
15.908176,156.6745137349
16.008860,329.0823813507
16.109545,260.2465256716
16.210230,9.0059933669
16.310914,333.7217393753
16.411599,3591.5190482711
16.512284,1285.9067978278
16.612968,263.7188190274
16.713653,90.1904827529
16.814337,245.6590319531
16.915022,59.7294533453
17.015707,133.2268717166
17.116391,168.1565784459
17.217076,67.8006182736
17.317761,203.4338350369
17.418445,178.1968952275
17.519130,81.8942024981
17.619815,46.4043200505
17.720499,141.7761902467
17.821184,158.1146064174
17.921869,155.3231179784
18.022553,481.0412604505
18.123238,361.2628976184
18.223923,45.5285086793
18.324607,41.0829510729
18.425292,393.5974699675
18.525977,627.3441850918
18.626661,1217.9759638306
18.727346,329.7185338199
18.828031,188.6913596934
18.928715,345.5072928547
19.029400,221.8102832855
19.130085,71.5859065406
19.230769,35.5003752454
19.331454,65.2838149995
19.432139,31.7984357206
19.532823,109.4143097242
19.633508,0.0801115223
19.734193,15.0288040549
19.834877,5.4226311620
19.935562,8.8068233594
20.036246,21.9262651620
20.136931,34.5988007031
20.237616,1.7703862067
20.338300,210.9367387555
20.438985,319.1526945329
20.539670,414.3382173014
20.640354,57.0794350057
20.741039,53.8197972560
20.841724,85.3796518505
20.942408,73.0363712530
21.043093,135.7270394771
21.143778,106.0414470809
21.244462,182.8309653888
21.345147,403.6728680856
21.445832,187.4851363466
21.546516,200.0400968859
21.647201,429.9722186761
21.747886,241.5822973266
21.848570,23.3024534790
21.949255,36.8484500430
22.049940,105.4806970699
22.150624,249.5624954921
22.251309,258.0511638978
22.351994,238.8364392836
22.452678,246.8532720728
22.553363,11.8716388870
22.654048,445.8376604647
22.754732,226.2923658965
22.855417,568.1323665316
22.956101,374.1633925963
23.056786,238.9033275118
23.157471,307.0147940596
23.258155,94.8352523040
23.358840,373.4429328819
23.459525,521.8268990837
