freq_hz,power
0.000000,87728.8805836089
0.100766,10017142.5825044680
0.201532,982229.9716514690
0.302297,7651.6974842272
0.403063,10677.0772611936
0.503829,2162.0478410574
0.604595,285.0651194094
0.705361,655.6248834263
0.806127,87.7282910423
0.906892,61.2242432166
1.007658,968.0336082792
1.108424,1787.9999445194
1.209190,1123.5742077340
1.309956,782.5877581893
1.410721,999.7689477547
1.511487,606.7528691632
1.612253,824.7850126209
1.713019,2983.5755925088
1.813785,4186.1215625570
1.914551,3020.8912395311
2.015316,1817.3759713553
2.116082,1481.7571016746
2.216848,1284.4142327958
2.317614,3498.0492880036
2.418380,4855.4240232330
2.519146,1640.6320267601
2.619911,101.1198941601
2.720677,2506.7248290684
2.821443,2365.3298233480
2.922209,730.0627270086
3.022975,485.9871300657
3.123740,1667.1390531397
3.224506,1709.2957768316
3.325272,614.6928699992
3.426038,188.6047708660
3.526804,204.9762440567
3.627570,345.4806630299
3.728335,734.3891875996
3.829101,575.7812684629
3.929867,172.1879428211
4.030633,343.2088283362
4.131399,760.0121379093
4.232164,712.8399733128
4.332930,348.8074534172
4.433696,374.8909093957
4.534462,496.7661758508
4.635228,508.5749979974
4.735994,31.0146020517
4.836759,430.6463368784
4.937525,220.8947822658
5.038291,133.2245956728
5.139057,359.7540303487
5.239823,540.4212714663
5.340588,614.2091287463
5.441354,519.6287938467
5.542120,255.2950878393
5.642886,216.4738912791
5.743652,228.0251061984
5.844418,115.3479550121
5.945183,9.8618904579
6.045949,42.6354701495
6.146715,172.5387751094
6.247481,313.3163062642
6.348247,42.4601475465
6.449012,411.0928828653
6.549778,763.6924675670
6.650544,312.4328190730
6.751310,48.9954545703
6.852076,143.4193502376
6.952842,30.7280221246
7.053607,328.6111834822
7.154373,488.2316093341
7.255139,484.2541240921
7.355905,235.9661788784
7.456671,14.8977568838
7.557437,167.5887358104
7.658202,76.7297655930
7.758968,70.0948986100
7.859734,182.1051871448
7.960500,507.5944546087
8.061266,158.0083102778
8.162031,96.9725097616
8.262797,134.3982894996
8.363563,132.9127016730
8.464329,15.6761643401
8.565095,11.3915134790
8.665861,21.8983278478
8.766626,96.9840540317
8.867392,79.3420786969
8.968158,13.1768645880
9.068924,1.7572099929
9.169690,16.2679749555
9.270455,10.3964774558
9.371221,19.0204118042
9.471987,89.9546420455
9.572753,246.6062953290
9.673519,134.5910169431
9.774285,97.5543319989
9.875050,202.0351423827
9.975816,173.3161499538
10.076582,103.9333941290
10.177348,229.6069510224
10.278114,217.3754492005
10.378879,177.0429413526
10.479645,167.7183115727
10.580411,246.5114306441
10.681177,116.3732733181
10.781943,178.4875251627
10.882709,403.9752138653
10.983474,283.9249409800
11.084240,204.8638182402
11.185006,493.9291441448
11.285772,716.1830355089
11.386538,509.6779262404
11.487304,489.6656071015
11.588069,298.5655305985
11.688835,161.0329900802
11.789601,225.0477524763
11.890367,317.3642529740
11.991133,389.1778056672
12.091898,297.4111871218
12.192664,184.2720511204
12.293430,446.9766978220
12.394196,358.3308208237
12.494962,271.4844955859
12.595728,370.0654404862
12.696493,294.8992701873
12.797259,147.5268368875
12.898025,122.0032673115
12.998791,255.6393605629
13.099557,416.1142779623
13.200322,307.2282242853
13.301088,124.8374630760
13.401854,110.4147759005
13.502620,183.6695710149
13.603386,116.0590240903
13.704152,7.3906544284
13.804917,15.5012581632
13.905683,72.8899493799
14.006449,195.5855453128
14.107215,46.2631028468
14.207981,7.9775285048
14.308746,22.8840878547
14.409512,111.4743326336
14.510278,50.4735594156
14.611044,245.5388494622
14.711810,331.8653578579
14.812576,59.5549138453
14.913341,63.4311834798
15.014107,72.5788379230
15.114873,82.6667726451
15.215639,34.4572836837
15.316405,31.5201630087
15.417170,42.6339350683
15.517936,46.6531153397
15.618702,18.6663185699
15.719468,93.1409777242
15.820234,141.1292735255
15.921000,68.7836729499
16.021765,65.7272569237
16.122531,69.1987205709
16.223297,16.4366623458
16.324063,71.5594622564
16.424829,208.6730446330
16.525595,219.0346019576
16.626360,219.1179564997
16.727126,22.8021004935
16.827892,3.0151488714
16.928658,63.1847801964
17.029424,127.2965468940
17.130189,132.4636251167
17.230955,325.7254122951
17.331721,52.5956017266
17.432487,2.4575855169
17.533253,1.8064237590
17.634019,93.2464297853
17.734784,102.9288789643
17.835550,18.3819049460
17.936316,0.4978243870
18.037082,16.7973859671
18.137848,23.3608833189
18.238613,38.1907765448
18.339379,17.8337722105
18.440145,29.3296969586
18.540911,2.8685569700
18.641677,42.5161304640
18.742443,33.8523195501
18.843208,80.5829639444
18.943974,46.8844478393
19.044740,0.9852085791
19.145506,64.7493212264
19.246272,191.2908917512
19.347037,177.7417264908
19.447803,110.8721870230
19.548569,49.3961905598
19.649335,29.4608354231
19.750101,7.9542279073
19.850867,31.1662518800
19.951632,176.6041544946
20.052398,99.2588093709
20.153164,3.8959329113
20.253930,19.2239826956
20.354696,77.0451185729
20.455462,18.6119126884
20.556227,11.0524918932
20.656993,8.3934224261
20.757759,20.3667542922
20.858525,50.6012781766
20.959291,6.0805637744
21.060056,12.1197889139
21.160822,27.9748213029
21.261588,0.2165189345
21.362354,60.5581594191
21.463120,12.1728589363
21.563886,123.6280125399
21.664651,66.3287723379
21.765417,15.7197091034
21.866183,47.0691396434
21.966949,52.1393532220
22.067715,1.3734259002
22.168480,1.2316766390
22.269246,17.7423183664
22.370012,27.5180485529
22.470778,57.1288944447
22.571544,129.4833973664
22.672310,187.2570436863
22.773075,147.6484554759
22.873841,29.5959635469
22.974607,62.9382590899
23.075373,78.8814501706
23.176139,29.6267934105
23.276904,21.1339285512
23.377670,94.8423865316
23.478436,107.7301593981
23.579202,14.0882875457
23.679968,1.3441925940
23.780734,15.1215923966
23.881499,9.7012966863
23.982265,12.4409191225
24.083031,141.7470082125
24.183797,64.2446647616
24.284563,13.3560482612
24.385328,110.7404222572
24.486094,82.1765377050
24.586860,55.7178109032
24.687626,29.5789975378
24.788392,4.5895315516
24.889158,2.3980117107
24.989923,42.3844133352
25.090689,28.1368817425
25.191455,20.3089510810
25.292221,66.5660392806
25.392987,63.3314570795
25.493753,60.2330217949
25.594518,46.0679391722
25.695284,17.7795840750
25.796050,22.2623423140
25.896816,45.8314331683
25.997582,16.8379152268
26.098347,10.0652392216
26.199113,32.3130567324
26.299879,35.2387752204
26.400645,6.5840042887
26.501411,66.1906809113
26.602177,111.1597144417
26.702942,109.6851022097
26.803708,36.7959969663
26.904474,14.0761181338
27.005240,0.3009733675
27.106006,8.8924232007
27.206771,71.2789395728
27.307537,70.3234121094
27.408303,17.4477558697
27.509069,16.5095287101
27.609835,5.8285893470
27.710601,22.9917080392
27.811366,64.9637092266
27.912132,15.5734409257
28.012898,72.3430401903
28.113664,74.5905120215
28.214430,98.1669810850
28.315195,31.6556400200
28.415961,40.0992074978
28.516727,11.3255331027
28.617493,8.4133509243
28.718259,10.3038199846
28.819025,50.1921969648
28.919790,19.9758688232
29.020556,59.1503765026
29.121322,38.4795682450
29.222088,78.8883020321
29.322854,23.1541396389
29.423620,2.7763918863
29.524385,9.2120450729
29.625151,4.8752908344
29.725917,28.9109500665
29.826683,8.8068662735
29.927449,29.8456010472
30.028214,27.1736494741
30.128980,4.8511661751
30.229746,3.0398035764
30.330512,35.7049388522
30.431278,58.4361207747
30.532044,15.6787560198
30.632809,56.9235667788
30.733575,53.3019620082
30.834341,6.0140592654
30.935107,3.5665112623
