freq_hz,power
0.000000,215475.4938702586
0.100806,5529281.8799057538
0.201613,3195006.3668259587
0.302419,361493.4620362764
0.403226,54420.5220831548
0.504032,22052.7928528618
0.604839,24114.6288181831
0.705645,18635.8692046171
0.806452,21151.0416351352
0.907258,41.3340823252
1.008065,14160.9617536869
1.108871,5259.8889486589
1.209677,2414.8016267419
1.310484,673.7559075141
1.411290,5852.2508008682
1.512097,5333.9360049309
1.612903,2089.3560141973
1.713710,1117.9439371146
1.814516,950.4792587279
1.915323,729.6738570499
2.016129,857.1193283724
2.116935,32.5986975549
2.217742,1091.0985261566
2.318548,1237.4734130789
2.419355,394.1408299738
2.520161,200.0157040449
2.620968,463.9391047347
2.721774,1375.9207735719
2.822581,1000.5357045410
2.923387,381.1192512094
3.024194,932.5352065381
3.125000,692.4071998037
3.225806,50.5646400612
3.326613,648.6069484435
3.427419,856.7976210785
3.528226,0.3336967666
3.629032,967.1649969927
3.729839,1115.8837522851
3.830645,716.7988193392
3.931452,631.7326100748
4.032258,602.9403612641
4.133065,1122.8043555403
4.233871,649.7716802103
4.334677,858.3882191790
4.435484,381.6686780779
4.536290,96.8895807436
4.637097,100.6096504657
4.737903,7.3456240666
4.838710,309.0072778561
4.939516,221.1661043050
5.040323,192.3572715430
5.141129,183.6395588179
5.241935,470.5144181993
5.342742,578.8949993841
5.443548,187.9627822014
5.544355,36.8948698149
5.645161,45.7875154427
5.745968,54.2880470096
5.846774,108.9384201497
5.947581,100.1463209089
6.048387,54.8998401086
6.149194,240.2229805998
6.250000,325.0462669896
6.350806,63.3614871931
6.451613,85.3181391195
6.552419,222.9568110678
6.653226,500.5336344180
6.754032,169.7154912493
6.854839,64.9973995077
6.955645,33.0361366711
7.056452,88.3185169819
7.157258,167.3807700841
7.258065,292.2231196755
7.358871,404.2066755001
7.459677,132.0113186474
7.560484,17.4420321497
7.661290,45.2738492068
7.762097,129.0036288285
7.862903,46.8144246517
7.963710,287.1532910832
8.064516,8.1283431853
8.165323,25.7227580203
8.266129,164.7465304457
8.366935,124.0519315836
8.467742,60.0763579681
8.568548,14.6134444020
8.669355,173.6999418628
8.770161,291.3669172228
8.870968,661.3411646481
8.971774,216.0776559081
9.072581,83.3111922443
9.173387,22.4444413138
9.274194,46.2569373422
9.375000,50.5125949290
9.475806,260.6604224122
9.576613,172.4106763358
9.677419,168.5932536409
9.778226,97.3882919640
9.879032,2.7388827931
9.979839,240.0045102707
10.080645,292.4458585491
10.181452,95.5982874123
10.282258,8.8021604339
10.383065,153.2399391473
10.483871,138.1831309263
10.584677,182.7164705659
10.685484,81.8683780139
10.786290,18.6859787928
10.887097,1.4693774620
10.987903,50.3729730025
11.088710,63.5812363530
11.189516,26.7037986795
11.290323,272.9617901715
11.391129,270.5855393491
11.491935,42.1524130765
11.592742,423.8857740398
11.693548,398.9121704049
11.794355,742.3156991380
11.895161,1233.4860710010
11.995968,228.0089603938
12.096774,53.7692619205
12.197581,24.7608940342
12.298387,8.8706852645
12.399194,19.3174324066
12.500000,39.6135959132
12.600806,3.5570621945
12.701613,26.5497102645
12.802419,195.3248093312
12.903226,16.0365405539
13.004032,23.5843288552
13.104839,24.6243987217
13.205645,100.1860751030
13.306452,26.5326847863
13.407258,64.4129882682
13.508065,3.2753940919
13.608871,17.7039813906
13.709677,96.6949674383
13.810484,23.4114472433
13.911290,10.8118508405
14.012097,21.6981723435
14.112903,83.1431204704
14.213710,53.8981595840
14.314516,23.9860485144
14.415323,32.3748618812
14.516129,71.6087187043
14.616935,39.2126077717
14.717742,5.3207658632
14.818548,65.0083529349
14.919355,117.3360311162
15.020161,33.9310675171
15.120968,110.5927704456
15.221774,142.0532157416
15.322581,0.8969788830
15.423387,14.6142058007
15.524194,51.8636866364
15.625000,107.0031970069
15.725806,18.7925712684
15.826613,14.7604624494
15.927419,22.3102404843
16.028226,15.3454364743
16.129032,8.8678059063
16.229839,32.5314552618
16.330645,19.2301321153
16.431452,25.8250690950
16.532258,80.2894515427
16.633065,71.6251874269
16.733871,29.3602212526
16.834677,27.6470404186
16.935484,37.8651765674
17.036290,15.6622106184
17.137097,54.3118908267
17.237903,59.5166927204
17.338710,41.3829329507
17.439516,43.6338209176
17.540323,15.1299802718
17.641129,35.9944796585
17.741935,65.7792225007
17.842742,48.7373453355
17.943548,108.6267310783
18.044355,90.0713426138
18.145161,39.1000715852
18.245968,35.6839197558
18.346774,56.9018636493
18.447581,26.3357816938
18.548387,31.7187123890
18.649194,31.5064669105
18.750000,109.2259210689
18.850806,36.7731704642
18.951613,89.4262992565
19.052419,7.4097416616
19.153226,47.9045288162
19.254032,51.0101245139
19.354839,38.9537374062
19.455645,34.2915619412
19.556452,22.1077165128
19.657258,30.1610268356
19.758065,20.1464653222
19.858871,21.2685922289
19.959677,101.9987635655
20.060484,38.9044453062
20.161290,58.1914734295
20.262097,105.7716452573
20.362903,96.7699463769
20.463710,69.0327138425
20.564516,58.0953907125
20.665323,0.4124370979
20.766129,119.6370996755
20.866935,107.1786321060
20.967742,2.4097806562
21.068548,60.6346976019
21.169355,60.8749950614
21.270161,48.3344308271
21.370968,104.1172248457
21.471774,70.8294710713
21.572581,46.6632161933
21.673387,50.7021616661
21.774194,74.5615578288
21.875000,14.1715235198
21.975806,21.1397082628
22.076613,32.8537454559
22.177419,55.8857728446
22.278226,141.6295670322
22.379032,88.7220462867
22.479839,50.7841326493
22.580645,100.4313380383
22.681452,257.7856716586
22.782258,173.8870080956
22.883065,100.5521204185
22.983871,27.7216975159
23.084677,26.1343220931
23.185484,109.0830537632
23.286290,44.1036303631
23.387097,27.4211078066
23.487903,34.5535097826
23.588710,238.4164584541
23.689516,800.6781201201
23.790323,483.6359497982
23.891129,38.2354358749
23.991935,6.9024418983
24.092742,53.9963637143
24.193548,65.7191278083
24.294355,5.3369490838
24.395161,2.1355184946
24.495968,13.4408403605
24.596774,110.5330353773
24.697581,142.2500814860
24.798387,21.2961510849
24.899194,43.7395381410
25.000000,16.2248112822
25.100806,97.8283022479
25.201613,137.7858726643
25.302419,33.8172369711
25.403226,4.0735596897
25.504032,8.8368699862
25.604839,41.0246900350
25.705645,41.4867874397
25.806452,6.0304831809
25.907258,2.7021108505
26.008065,12.3320344281
26.108871,32.0848967061
26.209677,40.4283287252
26.310484,120.7004501102
