sample,value
0,45023.6552981919
1,44929.8003232241
2,44886.9520291033
3,45014.5357864542
4,45085.7484442888
5,45021.5095307242
6,44936.0811634160
7,44888.5166512152
8,45018.8496731340
9,45085.1449471885
10,45018.9390801119
11,44929.6215092685
12,44885.9909040917
13,45017.9108998669
14,45084.8543745106
15,45011.6971149084
16,44928.5933290235
17,44891.0647500831
18,45023.0294493472
19,45092.0963397141
20,45034.5405977417
21,44972.8050795561
22,44940.2832913736
23,45064.5142870562
24,45127.2332819978
25,45041.3355280561
26,44954.6331113140
27,44903.5593752336
28,45028.0138883607
29,45103.6745433419
30,45040.5308652557
31,44956.5330095927
32,44909.9072706589
33,45037.6251384765
34,45108.7930928222
35,45043.1907228459
36,44955.1472014364
37,44904.5652037341
38,45025.1081615815
39,45096.8125577942
40,45044.8671036800
41,44968.8935242764
42,44915.5846137505
43,45046.4317257919
44,45126.0933430306
45,45062.6590922665
46,44961.6292073285
47,44910.8907474149
48,45035.7252401978
49,45113.3304969466
50,45039.0109466327
51,44946.2512071432
52,44902.4864914997
53,45017.7544376557
54,45091.6046013361
55,45032.2160163183
56,44952.7332130353
57,44891.0423983386
58,45000.5212426807
59,45083.9156012435
60,45031.1207808400
61,44959.9081230054
62,44907.4262270243
63,45016.4803882218
64,45093.2139269369
65,45037.9380628989
66,44953.2473031577
67,44898.2396600532
68,45013.5299579537
69,45102.0205142523
70,45037.3569175430
71,44941.8255617411
72,44892.1376338169
73,45019.3637632565
74,45118.1808254934
75,45046.7446502143
76,44948.8887129889
77,44890.9082878719
78,45010.8924521080
79,45099.0477322397
80,45039.8379611776
81,44958.6564253159
82,44901.0559798546
83,45009.6631061629
84,45097.9524967614
85,45032.1936645739
86,44951.5709223236
87,44900.0277996096
88,45019.0955423231
89,45104.1439299755
90,45038.0721733656
91,44945.8488757430
92,44894.7304361737
93,45012.6358881755
94,45103.2722119417
95,45043.6824612239
96,44959.3493293940
97,44893.6128489510
98,45004.2316322603
99,45098.9806770063
100,45034.8758739085
101,44941.6020442965
102,44886.2814767696
103,45004.2092805158
104,45094.8903077710
105,45031.6572227069
106,44937.0646401721
107,44887.6225814369
108,45010.6689346634
109,45100.5005956293
110,45037.5580832431
111,44957.3600241375
112,44896.8315001525
