freq_hz,power
0.000000,5764336.1072488613
0.100725,7583402.5583275836
0.201450,3686888.6988701969
0.302176,1129780.1311975492
0.402901,474138.6079630084
0.503626,82623.7722790561
0.604351,6870.6789098321
0.705077,5318.5104621490
0.805802,432.2240797050
0.906527,4624.6813055624
1.007252,13455.8974009930
1.107977,16907.6100713818
1.208703,6709.1764784241
1.309428,47.7167432727
1.410153,1376.7289246520
1.510878,3081.9230315079
1.611604,4916.2566393814
1.712329,2541.6921842099
1.813054,945.2631494735
1.913779,2528.0254989927
2.014504,2503.0331354792
2.115230,613.1087847973
2.215955,266.9095070463
2.316680,626.8189559479
2.417405,1014.5964789586
2.518131,477.4908635749
2.618856,145.5499704057
2.719581,2189.7447016151
2.820306,2978.0294540778
2.921031,1183.6038443231
3.021757,134.3584382604
3.122482,304.9978916072
3.223207,223.2530770579
3.323932,788.1478252344
3.424658,1763.0940262161
3.525383,593.7485176257
3.626108,296.9403168561
3.726833,61.3523939491
3.827558,400.9616574516
3.928284,1177.7591213704
4.029009,912.6146329339
4.129734,356.8162412802
4.230459,132.9969412884
4.331185,1415.8556381821
4.431910,896.5282236795
4.532635,87.6841242227
4.633360,62.9437677015
4.734085,156.4669205653
4.834811,435.8713319360
4.935536,304.7124598729
5.036261,262.6473596922
5.136986,320.8527702306
5.237712,304.5613701919
5.338437,216.3333845702
5.439162,908.2091120851
5.539887,653.5778381487
5.640612,530.4283705552
5.741338,646.9361618172
5.842063,607.7868642020
5.942788,158.4573568745
6.043513,113.2055842453
6.144239,68.6710764125
6.244964,378.9170094360
6.345689,420.2022853402
6.446414,43.9802987951
6.547139,56.5661377049
6.647865,2.3027360799
6.748590,183.7692875585
6.849315,89.9675014309
6.950040,308.9930086489
7.050766,19.8138060042
7.151491,586.4069280307
7.252216,25.6408393841
7.352941,801.2844715944
7.453666,405.0734714431
7.554392,235.6431708382
7.655117,239.8604245433
7.755842,137.1542899606
7.856567,98.4546781716
7.957293,61.8470888330
8.058018,281.6207501183
8.158743,142.7038982935
8.259468,44.6827385232
8.360193,572.6929649612
8.460919,651.8959622726
8.561644,472.4890797371
8.662369,345.3847262451
8.763094,244.9161953364
8.863820,141.0695420592
8.964545,382.5302711629
9.065270,1056.5096898317
9.165995,486.1712545430
9.266720,176.2666060033
9.367446,600.4387114833
9.468171,246.4487744776
9.568896,133.5559427270
9.669621,560.8414132500
9.770346,411.9676700986
9.871072,103.3781401864
9.971797,255.1866298361
10.072522,117.3293012810
10.173247,55.5488283923
10.273973,16.5684277761
10.374698,211.7171037749
10.475423,429.3589111156
10.576148,758.0501141224
10.676873,422.0066097393
10.777599,75.0327269548
10.878324,349.4206488155
10.979049,47.3907144158
11.079774,144.7846302365
11.180500,126.8343572849
11.281225,313.8206447384
11.381950,435.8199010702
11.482675,162.3219507053
11.583400,876.3806952907
11.684126,116.1359911123
11.784851,2351.8192721163
11.885576,14890.8063753045
11.986301,9263.4426558876
12.087027,2243.9454294096
12.187752,2494.2709298301
12.288477,2069.6620645305
12.389202,790.7901640959
12.489927,382.8744384171
12.590653,215.2016217946
12.691378,146.5000621154
12.792103,171.6799032695
12.892828,154.4093123145
12.993554,354.0005868118
13.094279,1571.4443479450
13.195004,783.6797939403
13.295729,24.4453485006
13.396454,0.9325404742
13.497180,0.1943097331
13.597905,184.3922937469
13.698630,336.3956940534
13.799355,190.5037236554
13.900081,82.3370197809
14.000806,1019.2623229346
14.101531,833.1580996820
14.202256,484.5994941877
14.302981,218.3832458794
14.403707,63.7577543764
14.504432,310.5707051608
14.605157,49.4981720014
14.705882,15.2034782974
14.806608,28.9613433827
14.907333,181.5648821207
15.008058,71.2969284269
15.108783,132.6061629936
15.209508,170.4212205936
15.310234,233.5267483322
15.410959,155.9822957581
15.511684,454.1942430520
15.612409,269.3383922717
15.713135,68.7389610514
15.813860,3.6962234440
15.914585,22.1069242248
16.015310,223.9814029001
16.116035,835.4141579274
16.216761,793.8855336446
16.317486,281.4494785390
16.418211,26.6199024679
16.518936,205.5946827636
16.619662,70.5038011053
16.720387,7.6139789939
16.821112,224.6745333198
16.921837,538.4387660548
17.022562,207.6448476765
17.123288,12.8635989239
17.224013,329.4240710772
17.324738,597.8144154778
17.425463,110.0600465720
17.526189,46.2081058033
17.626914,52.0914552354
17.727639,470.4665671834
17.828364,111.4162838032
17.929089,1322.3417020750
18.029815,899.8411823503
18.130540,163.0024892563
18.231265,49.9139983149
18.331990,246.0174813225
18.432716,165.3980999569
18.533441,30.5126567863
18.634166,578.7392089482
18.734891,501.2718375552
18.835616,175.0867073065
18.936342,297.4143269910
19.037067,384.3624034012
19.137792,716.9229322401
19.238517,819.6568974844
19.339243,131.5369742280
19.439968,22.0954360604
19.540693,208.3727141554
19.641418,329.2014798773
19.742143,414.4108565203
19.842869,381.4390845598
19.943594,712.0780017558
20.044319,233.7892145020
20.145044,297.2308029244
20.245770,983.2832723867
20.346495,879.1810793284
20.447220,532.0255452664
20.547945,88.4367409976
20.648670,9.2858936441
20.749396,198.6404480302
20.850121,23.4488045492
20.950846,156.9492223015
21.051571,217.6771925709
21.152297,96.8562079752
21.253022,334.1854516663
21.353747,213.0073164206
21.454472,428.4844697379
21.555197,519.4597695652
21.655923,140.7548063817
21.756648,156.6470924503
21.857373,443.7916567936
21.958098,217.2526451214
22.058824,47.5202230726
22.159549,82.1519949743
22.260274,62.8839036474
22.360999,98.3813267785
22.461724,728.4756424612
22.562450,297.7706779047
22.663175,48.5077257023
22.763900,346.6622233487
22.864625,61.6015973341
22.965351,323.1834399912
23.066076,128.0904714870
23.166801,806.5059804564
23.267526,258.6204057208
23.368251,284.5780728638
23.468977,2180.6412143875
23.569702,939.9635082817
23.670427,558.8221397058
23.771152,1638.2422925725
23.871878,1481.4934054075
23.972603,811.0617001021
24.073328,405.6095349509
24.174053,119.8444759731
24.274778,406.2881387744
24.375504,147.5388318068
24.476229,706.6100397114
24.576954,1565.6124520739
24.677679,331.7984632724
24.778405,369.7012455113
24.879130,759.6278480670
24.979855,322.3742011622
25.080580,50.9081183477
25.181305,1016.7926867601
25.282031,821.8097575158
25.382756,145.6141664457
25.483481,40.9085922457
25.584206,52.4744335647
25.684932,40.1598660788
25.785657,57.8065161460
25.886382,33.0881752809
25.987107,25.6947871053
26.087832,309.9824668994
26.188558,510.2285407073
26.289283,305.6951676494
26.390008,149.0890967212
26.490733,2.6958102226
26.591459,42.9512073473
26.692184,138.6363390988
26.792909,58.3961816505
26.893634,520.6855058918
26.994359,480.4054475823
27.095085,76.3084925676
27.195810,31.7932523604
27.296535,260.6178149096
27.397260,73.2256238804
27.497985,467.3508008185
27.598711,164.1810767240
27.699436,334.0878912751
27.800161,162.2580001889
27.900886,348.4216947462
28.001612,347.9801687354
28.102337,23.1613046700
28.203062,210.3241430217
28.303787,559.1411486538
28.404512,693.0357002988
28.505238,433.8165247760
28.605963,2.1331134115
28.706688,106.1094924142
28.807413,153.0754417084
28.908139,165.1714067507
29.008864,83.7792782094
29.109589,27.2857120704
29.210314,128.8312576847
29.311039,105.3739789474
29.411765,51.3847497484
29.512490,101.8074981121
29.613215,382.1184846163
29.713940,782.6785125433
29.814666,265.1599400040
29.915391,558.1521664864
30.016116,692.1629672247
30.116841,188.4973323662
30.217566,154.9543524074
30.318292,232.3979381621
30.419017,85.8126449291
30.519742,44.0595836437
30.620467,430.8081885806
30.721193,57.1626574731
30.821918,551.6953929493
30.922643,380.3204858828
31.023368,74.1968092394
31.124093,71.3090489201
31.224819,95.2315602649
31.325544,12.1319310510
31.426269,69.0131377465
31.526994,11.0832290633
31.627720,206.2043032947
31.728445,346.1890416627
31.829170,146.7055500906
31.929895,85.8101545940
32.030620,180.1019225264
32.131346,251.9621381636
32.232071,554.4026601297
32.332796,212.2458939830
32.433521,69.7510261611
32.534247,234.6948392961
32.634972,19.3509973582
32.735697,743.5416015470
32.836422,266.9687780437
32.937147,15.6204489202
33.037873,184.1157300495
33.138598,119.0841559187
33.239323,55.7137361581
33.340048,45.0174827228
33.440774,96.8436503957
33.541499,119.8583966144
33.642224,429.3540716965
33.742949,562.4212245383
33.843674,149.8255620271
33.944400,156.6753787026
34.045125,57.1354133274
34.145850,389.8453546406
34.246575,319.8791941673
34.347301,112.7973311366
34.448026,67.4153978084
34.548751,19.8943316538
34.649476,177.7143824683
34.750201,388.1583068237
34.850927,41.5131683617
34.951652,67.1667868985
35.052377,259.6508411851
35.153102,255.8394547862
35.253828,1.9683161532
35.354553,166.9966735003
