subject,loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG0_hjorth_activity,EXG0_hjorth_mobility,EXG0_hjorth_complexity,EXG0_delta,EXG0_theta,EXG0_alpha,EXG0_beta,EXG0_gamma,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,EXG1_hjorth_activity,EXG1_hjorth_mobility,EXG1_hjorth_complexity,EXG1_delta,EXG1_theta,EXG1_alpha,EXG1_beta,EXG1_gamma,cca_corr_f8,cca_corr_f10,cca_corr_f12,cca_corr_f15,cca_corr_f20,cca_corr_f30,label
fahri,1.0,12.0,12.996,829755.5538595152,2708083.886297392,7333718335223.586,0.15877337637865485,-0.9311772524536392,7333718335223.586,0.17067915729718539,2.4983275332040935,1128562820320.6204,125117765492.31413,87119268251.73738,45759356178.33114,18027.54427853806,-829755.5538595156,2708083.886297392,7333718335223.586,-0.15877337637865443,-0.9311772524536392,7333718335223.586,0.17067915729718536,2.498327533204095,1128562820320.62,125117765492.31406,87119268251.73735,45759356178.33112,18027.544278532354,0.07231312604348379,0.1225942565093307,0.19933543414588709,0.032604920606661085,0.12357607854785489,0.012912091425400564,belakang
fahri,1.0,13.0,13.996,-677740.1289085201,2047957.2146304597,4194128752956.95,0.31015519899048805,-0.346602792326157,4194128752956.95,0.27571181861971233,1.6121877411523324,594708068649.9519,9818410722.538067,73042763699.5869,80300374973.66798,14664.462319471837,677740.1289085202,2047957.2146304597,4194128752956.95,-0.3101551989904881,-0.346602792326157,4194128752956.95,0.27571181861971233,1.6121877411523324,594708068649.9519,9818410722.538065,73042763699.58691,80300374973.66798,14664.462319475228,0.028115822976019306,0.15963718543121327,0.08819376364730266,0.08074984985422626,0.22368457240271478,0.021414320106552462,belakang
fahri,1.0,14.0,14.996,-218439.7353117401,2688584.1655107685,7228484815035.236,0.07826215085174253,-0.462119012731947,7228484815035.236,0.22315019823285837,1.808121184723197,1215254389580.0156,145223935311.1338,97102315116.86493,128349378931.22653,16248.477109948928,218439.73531174005,2688584.1655107685,7228484815035.236,-0.07826215085174242,-0.462119012731947,7228484815035.236,0.22315019823285837,1.808121184723197,1215254389580.0159,145223935311.1338,97102315116.86497,128349378931.22656,16248.477109947264,0.20266631824058737,0.1000741230928389,0.14827755384872154,0.08911162137465656,0.1824465043585024,0.021220557947205107,belakang
fahri,1.0,15.0,15.996,-28903.62024007821,2945182.196845515,8674098172615.774,0.4507921310663931,-0.021834701332326567,8674098172615.774,0.1688322227581573,2.269203974674173,1595788786507.572,338523858936.6132,79339628078.13203,57516934456.821434,10261.388668669144,28903.62024007833,2945182.196845515,8674098172615.774,-0.45079213106639304,-0.021834701332326567,8674098172615.774,0.1688322227581573,2.269203974674173,1595788786507.572,338523858936.6132,79339628078.13203,57516934456.82142,10261.388668668435,0.1449033510668179,0.11307884167326723,0.2063638110559322,0.06797902026331867,0.09714106992987416,0.005201266334846239,belakang
fahri,1.0,16.0,16.996000000000002,-1332484.9953972488,3532785.577134893,12480573934012.316,-0.24822949075108458,-0.45509923257977025,12480573934012.316,0.1727267518880927,2.2020154223333424,1296506851315.4202,225198524407.74887,219140155994.81842,57730060586.88507,12585.935626907934,1332484.9953972483,3532785.577134893,12480573934012.316,0.24822949075108514,-0.45509923257976936,12480573934012.316,0.1727267518880927,2.202015422333342,1296506851315.4202,225198524407.74887,219140155994.81842,57730060586.88509,12585.935626916425,0.10862953279934384,0.13054572535845732,0.0912124794659348,0.11739192662228541,0.0860501818144092,0.02218256946964342,belakang
fahri,1.0,17.0,17.996000000000002,73405.33607616139,6891026.840553435,47486250917227.85,0.033659754027611156,-1.431707572991406,47486250917227.85,0.0680890007182179,4.875992699472482,5936820521678.522,267839767192.9269,213226406670.82135,51154178421.28545,16107.985692453605,-73405.33607616091,6891026.840553435,47486250917227.85,-0.03365975402761126,-1.431707572991406,47486250917227.85,0.06808900071821791,4.875992699472484,5936820521678.522,267839767192.92694,213226406670.8213,51154178421.28544,16107.985692444092,0.0482671896067083,0.0979147289438016,0.14854889528967932,0.04931196595973864,0.045407598502843385,0.018433889210327462,belakang
fahri,1.0,18.0,18.996,2707422.84558969,3422075.6665767957,11710601867777.02,-0.12053244558708737,-1.1026575558689387,11710601867777.02,0.13872157877759744,2.599103676316375,2105216842900.1602,181338693335.255,82741140712.84402,51644002982.358345,19996.69657624686,-2707422.84558969,3422075.6665767953,11710601867777.018,0.12053244558708719,-1.1026575558689384,11710601867777.018,0.13872157877759742,2.599103676316376,2105216842900.1597,181338693335.25497,82741140712.84404,51644002982.35832,19996.6965762513,0.04568596409816001,0.012326668295263219,0.14453661706679102,0.1308363759118786,0.04379362120905605,0.019669693087671778,belakang
fahri,1.0,19.0,84.992,-601622.6731864405,2002959.426968119,4011846466080.456,-0.08436472655963889,0.32232984209198356,4011846466080.456,0.2413233026971485,3.093946247075644,205834754827.92328,193064804055.2476,30398612595.565117,21089918138.388462,6137.2992240915155,601622.6731864405,2002959.426968119,4011846466080.456,0.08436472655963916,0.32232984209198356,4011846466080.456,0.24132330269714847,3.093946247075644,205834754827.92328,193064804055.2476,30398612595.565117,21089918138.38846,6137.299224090002,0.1720668930410775,0.14428832610678097,0.03984017244415392,0.1656346153567089,0.13031352108534144,0.014323637046935095,belakang
fahri,2.0,84.996,85.992,-3135639.1838668007,2987126.1934070694,8922922895338.61,-0.1906342765964174,-0.27315521506787466,8922922895338.61,0.16686813108685752,2.1461436943698198,1144613416996.3481,176310308761.77814,195378337158.28094,69044543197.83252,8648.310984628642,3135639.1838668003,2987126.1934070694,8922922895338.61,0.19063427659641774,-0.2731552150678742,8922922895338.61,0.16686813108685752,2.1461436943698198,1144613416996.3484,176310308761.77814,195378337158.281,69044543197.83255,8648.3109846318,0.21319778078924065,0.04612532307550418,0.24256368299397518,0.0574355048526085,0.07242660138712737,0.006508804261667707,belakang
fahri,2.0,85.996,86.992,4031570.478682136,3023060.907703698,9138897251686.309,-0.10593611827800417,-1.0048127272038536,9138897251686.309,0.19535926670225903,2.1038017181833526,1375367833811.3855,129464130355.47261,161171477156.444,49727013333.17044,6228.185278220932,-4031570.478682136,3023060.907703698,9138897251686.309,0.10593611827800409,-1.0048127272038536,9138897251686.309,0.19535926670225903,2.1038017181833526,1375367833811.3855,129464130355.47263,161171477156.44403,49727013333.17044,6228.18527822401,0.05440913698438181,0.15283873914137755,0.08587477303840238,0.07625718377763832,0.18861245067235818,0.004633850843126364,belakang
