subject,loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG0_delta_bandpower,EXG0_theta_bandpower,EXG0_alpha_bandpower,EXG0_beta_bandpower,EXG0_hjorth_activity,EXG0_hjorth_mobility,EXG0_hjorth_complexity,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,EXG1_delta_bandpower,EXG1_theta_bandpower,EXG1_alpha_bandpower,EXG1_beta_bandpower,EXG1_hjorth_activity,EXG1_hjorth_mobility,EXG1_hjorth_complexity,CCA_15.5Hz,CCA_13.5Hz,CCA_11.5Hz,CCA_9.5Hz,CCA_5.5Hz,CCA_7.5Hz,label
fahri,1,60.0,66.996,-33017.521064701694,2859181.4454340036,8174918537914.079,-0.16973471209322458,0.3700565296218321,1209113155170.5833,988877117674.4159,751162696468.7065,820164653886.7454,8174918537914.079,0.17690123151832965,2.2951243914886748,33017.52106470163,2859181.4454340036,8174918537914.079,0.16973471209322458,0.3700565296218321,1209113155170.5833,988877117674.416,751162696468.7067,820164653886.7454,8174918537914.079,0.17690123151832965,2.2951243914886748,0.04362349694630951,0.04699067675069949,0.05993266852249028,0.07687214804114627,0.10262935741984253,0.08770432944559114,landing
fahri,1,67.0,138.992,293357.3220583761,4621772.380086579,21360779933331.168,-0.054349919632531045,-0.3570267831177616,3233444302923.389,886503469051.6483,819089393155.1174,837910182036.4656,21360779933331.168,0.09757065805000624,4.172219436205861,-293357.3220583761,4621772.380086579,21360779933331.168,0.05434991963253095,-0.3570267831177616,3233444302923.3887,886503469051.6484,819089393155.1177,837910182036.4657,21360779933331.168,0.09757065805000624,4.172219436205861,0.02620939496815351,0.012833652337330076,0.022619385804171988,0.040696077647204856,0.029428851689054764,0.06405222958797137,landing
fahri,2,138.996,210.988,232719.46207909076,3811749.370665508,14529433264768.896,-0.24062108191809514,-0.1786320383590394,2560381676844.803,914901527010.2343,609935947887.2073,599601971722.646,14529433264768.896,0.13459022211426838,5.44344085782807,-232719.46207909082,3811749.370665508,14529433264768.896,0.24062108191809498,-0.1786320383590394,2560381676844.803,914901527010.2344,609935947887.2073,599601971722.6461,14529433264768.896,0.13459022211426838,5.443440857828067,0.0257475165243328,0.05952808283573694,0.06766759402496067,0.02615041217901826,0.06209677173595317,0.07188087253458404,landing
fahri,3,210.992,282.984,46110.259467839074,4817111.424550943,23204562476539.22,0.10704296246384284,0.945417880949881,3851350457307.6025,859438064827.3013,840294416629.3811,490313589846.43616,23204562476539.22,0.0949894526245153,4.774025885947778,-46110.25946783914,4817111.424550944,23204562476539.223,-0.10704296246384282,0.9454178809498806,3851350457307.6016,859438064827.3014,840294416629.3813,490313589846.4362,23204562476539.223,0.0949894526245153,4.774025885947777,0.04046285456769592,0.01875117560287606,0.024559179242330063,0.03533544982224896,0.0805950113244456,0.05550865140909162,landing
fahri,4,282.988,354.98,-71034.11196910823,3458954.764357071,11964368061868.48,0.4122260895985573,0.004676507391998541,2572240814002.2617,568637404830.6198,580847849442.8528,891781058993.9087,11964368061868.48,0.1394130859763566,3.9941685978210653,71034.11196910833,3458954.764357071,11964368061868.48,-0.41222608959855767,0.004676507391998541,2572240814002.2617,568637404830.62,580847849442.8529,891781058993.9087,11964368061868.48,0.1394130859763566,3.9941685978210604,0.018573844958263867,0.056648681946624514,0.037974551460303554,0.02793291545247732,0.0935421820989995,0.036749452025499625,landing
fahri,5,354.984,66.976,6308025.7720773425,1659493524.8764722,2.753918759106939e+18,0.339016276137256,0.38926043278254197,5.7510651881273766e+17,5.2972222443376154e+17,7.330157538352163e+17,1.4131599633327155e+18,2.753918759106939e+18,0.334638262647462,1.3159310386643548,-6308025.772077344,1659493524.8764722,2.753918759106939e+18,-0.339016276137256,0.38926043278254197,5.7510651881273754e+17,5.2972222443376154e+17,7.330157538352163e+17,1.4131599633327155e+18,2.753918759106939e+18,0.334638262647462,1.315931038664355,0.06575986889758373,0.06260811347285306,0.10465147412235172,0.08157226187384682,0.0910062756851545,0.1683164179928636,landing
sultan,1,66.98,138.972,-5397700.959172953,1698101472.2866497,2.883548610182087e+18,0.711205161047947,0.5573791433381654,3.6317296209525344e+17,5.4976839983877715e+17,6.008170110253225e+17,9.509599730956799e+17,2.883548610182087e+18,0.32002854029560895,1.3907960625603937,5397700.959172934,1698101472.2866497,2.883548610182087e+18,-0.7112051610479472,0.5573791433381654,3.6317296209525344e+17,5.4976839983877715e+17,6.008170110253225e+17,9.5095997309568e+17,2.883548610182087e+18,0.32002854029560895,1.3907960625603935,0.07761121428434145,0.07368940223902887,0.044148558247241204,0.13416448224661787,0.12043263815307606,0.08040205212749167,landing
sultan,2,138.976,210.968,8295395.470577414,1596928871.9965343,2.550181822216124e+18,0.5100910882787064,0.09423410124860698,3.0240498590989376e+17,7.129462004281073e+17,6.661870643447607e+17,1.1925124232729436e+18,2.550181822216124e+18,0.31865773383308427,1.3424278118803035,-8295395.470577401,1596928871.9965343,2.550181822216124e+18,-0.5100910882787064,0.09423410124860698,3.0240498590989376e+17,7.129462004281073e+17,6.661870643447607e+17,1.1925124232729436e+18,2.550181822216124e+18,0.31865773383308427,1.3424278118803032,0.03413318004808087,0.10321525570115457,0.09856976706205947,0.03823915573505867,0.07018410580640756,0.1332592589459131,landing
sultan,3,210.972,282.964,5724784.067970108,1499555013.3837075,2.2486652381642115e+18,0.7850848052148789,0.4768628590388171,2.1704095084722698e+17,5.0152950668969946e+17,4.324717094930033e+17,1.00038200075731e+18,2.2486652381642115e+18,0.3242267063948219,1.2910439853490203,-5724784.067970103,1499555013.3837075,2.2486652381642115e+18,-0.7850848052148788,0.4768628590388171,2.1704095084722704e+17,5.015295066896995e+17,4.324717094930034e+17,1.0003820007573101e+18,2.2486652381642115e+18,0.3242267063948219,1.2910439853490203,0.10979869071783088,0.07183875903036206,0.12566020092250207,0.1664224046798798,0.16509886078404143,0.15973733356058525,landing
sultan,4,282.968,354.96,3423444.3349842005,1442681412.1557014,2.081329656979569e+18,0.6325416946451332,0.16304895494803162,2.245685683061069e+17,4.0800291308090643e+17,4.102786672166244e+17,1.1401944746684273e+18,2.081329656979569e+18,0.3314296136080209,1.3252158393660634,-3423444.334984198,1442681412.1557014,2.081329656979569e+18,-0.6325416946451333,0.16304895494803162,2.245685683061069e+17,4.0800291308090643e+17,4.102786672166244e+17,1.1401944746684273e+18,2.081329656979569e+18,0.3314296136080209,1.3252158393660634,0.02564416404351335,0.08084762378530731,0.06387104144617971,0.08858349867064465,0.02997410523157726,0.07275715953253147,landing
