subject,loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG0_delta_bandpower,EXG0_theta_bandpower,EXG0_alpha_bandpower,EXG0_beta_bandpower,EXG0_hjorth_activity,EXG0_hjorth_mobility,EXG0_hjorth_complexity,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,EXG1_delta_bandpower,EXG1_theta_bandpower,EXG1_alpha_bandpower,EXG1_beta_bandpower,EXG1_hjorth_activity,EXG1_hjorth_mobility,EXG1_hjorth_complexity,CCA_15.5Hz,CCA_13.5Hz,CCA_11.5Hz,CCA_9.5Hz,CCA_5.5Hz,CCA_7.5Hz,label
fahri,1,48.0,54.996,399350.7876756371,6602257.152359958,43589799505888.22,-0.37304436855247103,0.6259557049405529,3036359069411.383,1243920737388.6248,408326930605.74646,634554694471.5592,43589799505888.22,0.07010912641920922,5.5051698925415185,-399350.7876756371,6602257.152359958,43589799505888.22,0.37304436855247103,0.6259557049405537,3036359069411.384,1243920737388.6248,408326930605.7465,634554694471.5592,43589799505888.22,0.07010912641920923,5.505169892541518,0.007451061196178689,0.007283866399745171,0.029676530968357272,0.03610982638827223,0.05368027452805735,0.05052347380162584,terbang
fahri,1,55.0,126.992,-229248.72235277938,4206961.500147185,17698525063720.652,0.08182439500266225,0.9531639504783689,1559431448830.8406,959816414053.1252,684576888156.6177,1105912032409.583,17698525063720.652,0.11157663369276528,3.497784945090966,229248.72235277947,4206961.500147184,17698525063720.65,-0.08182439500266284,0.9531639504783707,1559431448830.8406,959816414053.1252,684576888156.6178,1105912032409.583,17698525063720.65,0.11157663369276528,3.497784945090966,0.03340546778286184,0.030553455070722352,0.015075400430781488,0.05138832341313707,0.11071435719576074,0.0486796057003163,terbang
fahri,2,126.996,198.988,-157226.82714180832,4176862.2853344493,17446178550649.316,-0.03196382366761967,0.13691297983874318,1689812379057.3025,1379415795010.504,649990531120.5182,787417090150.5974,17446178550649.316,0.12314084054827307,3.9333022017846218,157226.8271418082,4176862.2853344493,17446178550649.316,0.03196382366761991,0.13691297983874318,1689812379057.3027,1379415795010.5037,649990531120.518,787417090150.5977,17446178550649.316,0.1231408405482731,3.9333022017846213,0.0284215248807395,0.022217815212927927,0.03084989908811264,0.02483968302421519,0.06783313967554937,0.035490225336243034,terbang
fahri,3,198.992,270.984,-422465.6661584954,5042247.290093575,25424257734455.996,0.01775867569041193,-0.24147255785331767,2251414018751.49,649574846400.6989,590783253366.7692,383587826330.608,25424257734455.996,0.08180200251107622,4.505374388046701,422465.6661584956,5042247.290093575,25424257734455.996,-0.017758675690411986,-0.24147255785331767,2251414018751.4907,649574846400.699,590783253366.769,383587826330.608,25424257734455.996,0.08180200251107622,4.505374388046701,0.014907976804272065,0.028931914805769034,0.025786672532662095,0.0330795570095329,0.0722859997906653,0.04394919869944024,terbang
fahri,4,270.988,342.98,226207.81011908062,3826783.8565357695,14644274684642.775,0.3661235308645931,0.14409766884857333,1725437239814.8606,597857914228.7244,429308772883.9117,457677373255.5679,14644274684642.775,0.12198314002073488,4.667484766475151,-226207.81011908047,3826783.8565357695,14644274684642.775,-0.3661235308645931,0.14409766884857333,1725437239814.8608,597857914228.7245,429308772883.91156,457677373255.5679,14644274684642.775,0.12198314002073488,4.667484766475149,0.009362613037960864,0.027622739760861426,0.03336373930682962,0.03193216935379429,0.10055471631050353,0.03969571087910075,terbang
fahri,5,342.984,54.976,-6445592.685641929,1800759933.2203393,3.242736337091721e+18,0.6693611101139804,0.5643922186335208,4.959657032593849e+17,6.661289607831372e+17,4.597645786569999e+17,8.143708825031203e+17,3.242736337091721e+18,0.3031842933888144,1.4479360180180803,6445592.685641942,1800759933.2203393,3.242736337091721e+18,-0.6693611101139803,0.5643922186335208,4.959657032593848e+17,6.661289607831372e+17,4.5976457865699994e+17,8.143708825031201e+17,3.242736337091721e+18,0.3031842933888144,1.4479360180180803,0.004092955705156407,0.0343699623661914,0.12051407092144457,0.10934475796251492,0.11188272890724962,0.06401959156768147,terbang
sultan,1,54.98,126.972,15104635.338599117,1620786547.9170277,2.6269490339087954e+18,0.4467136576171974,0.4434045223548795,3.9808208987624506e+17,5.6116274292705805e+17,7.579066401326958e+17,9.487434597599674e+17,2.6269490339087954e+18,0.29934200570319924,1.4754523422564099,-15104635.338599112,1620786547.9170277,2.6269490339087954e+18,-0.44671365761719734,0.4434045223548795,3.9808208987624506e+17,5.61162742927058e+17,7.579066401326959e+17,9.487434597599674e+17,2.6269490339087954e+18,0.29934200570319924,1.4754523422564099,0.014136961969664267,0.0566146336420388,0.13072600224199124,0.09633613801371825,0.08400275542097782,0.09970188293119368,terbang
sultan,2,126.976,198.968,-33757884.57625809,1567656419.5665977,2.4575466498083645e+18,0.6881350641968783,0.6674838169957638,3.8612535677589254e+17,6.182653626005852e+17,5.297836829015601e+17,1.0476910576634552e+18,2.4575466498083645e+18,0.3076057348920485,1.3710964163911668,33757884.57625811,1567656419.5665977,2.4575466498083645e+18,-0.6881350641968783,0.6674838169957629,3.861253567758925e+17,6.182653626005852e+17,5.2978368290156e+17,1.0476910576634552e+18,2.4575466498083645e+18,0.3076057348920485,1.3710964163911668,0.12039024569469134,0.0717039041141278,0.13567292521498603,0.14310593388143006,0.10026128274194397,0.12018096379981492,terbang
sultan,3,198.972,270.964,29331314.213500157,1373870824.4558654,1.887521042291039e+18,0.5692374284784413,0.38605914221005033,2.328429133415376e+17,3.393878113438226e+17,2.7565939176642544e+17,8.491100443479544e+17,1.887521042291039e+18,0.3195111556527617,1.4155057135447546,-29331314.213500176,1373870824.4558654,1.887521042291039e+18,-0.5692374284784413,0.38605914221005033,2.328429133415376e+17,3.393878113438226e+17,2.7565939176642538e+17,8.491100443479543e+17,1.887521042291039e+18,0.3195111556527617,1.4155057135447546,0.03992405025095192,0.08518130155304204,0.054228990963560215,0.14779565342649875,0.08707948913767533,0.1567050941907877,terbang
sultan,4,270.968,342.96,-25271002.151188347,1375430080.2196448,1.8918079055730186e+18,0.5583528625007596,-0.22481215500185625,3.249558395998865e+17,2.5858598773691082e+17,4.1815428334167514e+17,7.500687528276143e+17,1.8918079055730186e+18,0.3182857036989195,1.3902466871215247,25271002.151188347,1375430080.2196448,1.8918079055730186e+18,-0.5583528625007596,-0.22481215500185714,3.2495583959988646e+17,2.5858598773691075e+17,4.18154283341675e+17,7.500687528276143e+17,1.8918079055730186e+18,0.3182857036989195,1.3902466871215247,0.13331681133637777,0.10270414676725569,0.08726370390272578,0.11390781855334618,0.06381877111231937,0.10362807614581122,terbang
sultan,5,342.964,54.956,3236932.214914081,2094980209.7944224,4.388942079430282e+18,0.2523982772829661,0.12484304531268098,6.714941954091356e+17,7.82899334361955e+17,8.02995899834357e+17,2.09579081696337e+18,4.388942079430282e+18,0.32677557018567066,1.440014017960847,-3236932.2149140723,2094980209.7944224,4.388942079430282e+18,-0.25239827728296604,0.12484304531268098,6.714941954091356e+17,7.828993343619548e+17,8.029958998343567e+17,2.09579081696337e+18,4.388942079430282e+18,0.32677557018567066,1.440014017960847,0.09489340836814412,0.08172742604403715,0.07192764459589701,0.12098133870717587,0.060085699318413906,0.16769277979920208,terbang
